human_date_time,link,dealised_author_full_name
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:17 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<dffb6cc54de14015ab356a5598234437@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:28 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<e832900f02a541aa8d177114197bdab3@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Fri Mar 14 00:02:37 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<ee00ef2c61dd42fd8ca063f5f00d9548@git.apache.org>,jesse yates
Wed Mar 19 02:22:40 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<9bd5b1bbc2664442aba38ec9be198810@git.apache.org>,jesse yates
Wed Mar 19 02:22:40 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<9bd5b1bbc2664442aba38ec9be198810@git.apache.org>,jesse yates
Wed Mar 19 02:25:43 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<3dbfd5d9fe8345cbb6cf23efe581cfce@git.apache.org>,jesse yates
Wed Mar 19 02:25:43 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<3dbfd5d9fe8345cbb6cf23efe581cfce@git.apache.org>,jesse yates
Wed Mar 19 02:27:03 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<13f3c25fe60c47659a909340b5b0ec9d@git.apache.org>,jesse yates
Wed Mar 19 02:27:03 2014,http://mail-archives.apache.org/mod_mbox/phoenix-commits/201403.mbox/<13f3c25fe60c47659a909340b5b0ec9d@git.apache.org>,jesse yates
