human_date_time,link,dealised_author_full_name
Tue May 20 00:48:11 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<73785a8401fc4ff799ef4c3f24c41b17@git.apache.org>,preston carman
Tue May 20 00:48:11 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<73785a8401fc4ff799ef4c3f24c41b17@git.apache.org>,preston carman
Wed May 21 01:42:54 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<414aa6ad03f74bf1a3f3d7726384a245@git.apache.org>,preston carman
Wed May 21 01:42:54 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<414aa6ad03f74bf1a3f3d7726384a245@git.apache.org>,preston carman
Wed May 21 01:42:54 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<414aa6ad03f74bf1a3f3d7726384a245@git.apache.org>,preston carman
Wed May 21 01:42:54 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<414aa6ad03f74bf1a3f3d7726384a245@git.apache.org>,preston carman
Wed May 21 01:42:54 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<414aa6ad03f74bf1a3f3d7726384a245@git.apache.org>,preston carman
Thu May 22 17:55:43 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<f09290e657704df4b78e175d509ca742@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Thu May 29 23:57:23 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<cde7318408864ff18814e3bf0748509e@git.apache.org>,preston carman
Fri May 30 19:42:59 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<22c16546a9a847228ed76acc74a1fd71@git.apache.org>,preston carman
Fri May 30 19:42:59 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<22c16546a9a847228ed76acc74a1fd71@git.apache.org>,preston carman
Fri May 30 19:42:59 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<22c16546a9a847228ed76acc74a1fd71@git.apache.org>,preston carman
Fri May 30 19:42:59 2014,http://mail-archives.apache.org/mod_mbox/vxquery-commits/201405.mbox/<22c16546a9a847228ed76acc74a1fd71@git.apache.org>,preston carman
