human_date_time,link,dealised_author_full_name
Wed May  1 17:36:16 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645591.1367387110526.255615.1367429776481@arcas>,srimanth gunturi
Wed May  1 20:12:17 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645575.1367371311203.256409.1367439137127@arcas>,srimanth gunturi
Wed May  1 20:12:17 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645596.1367390535086.256417.1367439137857@arcas>,srimanth gunturi
Wed May  1 20:38:16 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645580.1367372932435.256515.1367440696433@arcas>,srimanth gunturi
Wed May  1 20:40:15 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645592.1367387484117.256525.1367440815749@arcas>,srimanth gunturi
Wed May  1 21:36:17 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645463.1367342432558.256932.1367444177133@arcas>,srimanth gunturi
Wed May  1 21:52:16 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645505.1367351313337.257015.1367445136054@arcas>,srimanth gunturi
Wed May  1 23:32:17 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12644882.1366998214998.257615.1367451137226@arcas>,srimanth gunturi
Thu May  2 18:16:17 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645718.1367449390419.261595.1367518577934@arcas>,srimanth gunturi
Thu May  2 18:20:16 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12645747.1367471714425.261619.1367518816658@arcas>,srimanth gunturi
Tue May  7 16:39:18 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12646356.1367906041075.281726.1367944758254@arcas>,srimanth gunturi
Wed May  8 23:33:16 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12646475.1367952887223.291083.1368055996048@arcas>,srimanth gunturi
Thu May  9 23:05:45 2013,http://mail-archives.apache.org/mod_mbox/ambari-dev/201305.mbox/<JIRA.12646738.1368061691713.296236.1368140745948@arcas>,srimanth gunturi
