human_date_time,link,dealised_author_full_name
Tue Jan  3 09:14:58 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<JIRA.13029764.1482330406000.627112.1483434898443@Atlassian.JIRA>,dan kilman
Thu Jan  5 11:21:54 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<b209d1d9d0fd41a0b6f1c5ceb6e00e3d@git.apache.org>,dan kilman
Thu Jan  5 11:21:55 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<e9742cedd50a4677b824abf51f49e5b7@git.apache.org>,dan kilman
Thu Jan  5 11:22:35 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<git-pr-40-incubator-ariatosca@git.apache.org>,dan kilman
Thu Jan  5 12:19:09 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<git-pr-41-incubator-ariatosca@git.apache.org>,dan kilman
Thu Jan  5 13:09:55 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<git-pr-42-incubator-ariatosca@git.apache.org>,dan kilman
Thu Jan  5 13:12:58 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<JIRA.13024788.1480603235000.649822.1483621978357@Atlassian.JIRA>,dan kilman
Thu Jan  5 13:58:00 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<20170105135800.42608DF9F9@git1-us-west.apache.org>,dan kilman
Thu Jan  5 14:27:44 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<20170105142744.31303DF9E6@git1-us-west.apache.org>,dan kilman
Thu Jan  5 14:49:54 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<1c2b14bf93df4e39ae47ac4fbf8d129e@git.apache.org>,dan kilman
Thu Jan  5 14:51:30 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<ea3002c8749f4295afb66d85631e5208@git.apache.org>,dan kilman
Thu Jan  5 14:51:31 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<d26d4a05d7a841e8b50945cd7d0b4a4d@git.apache.org>,dan kilman
Thu Jan  5 14:54:58 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<JIRA.13024787.1480603193000.650781.1483628098404@Atlassian.JIRA>,dan kilman
Thu Jan  5 14:54:58 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<JIRA.13032002.1483546479000.650785.1483628098429@Atlassian.JIRA>,dan kilman
Thu Jan  5 14:54:58 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<JIRA.13032001.1483546358000.650777.1483628098377@Atlassian.JIRA>,dan kilman
Sun Jan  8 16:48:02 2017,http://mail-archives.apache.org/mod_mbox/ariatosca-dev/201701.mbox/<652ceb984be640e6963b9ef5cbb42eef@git.apache.org>,dan kilman
