human_date_time,link,dealised_author_full_name
Mon Nov  1 08:49:28 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<32446793.172501288615768219.JavaMail.jira@thor>,valentin mahrwald
Thu Nov  4 08:03:35 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<74BFE241-6EA0-427B-BD0A-9745EC501142@gmail.com>,valentin mahrwald
Thu Nov  4 14:21:00 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<44FC37E1-33E2-469A-BA4D-25AF1B599EF3@gmail.com>,valentin mahrwald
Thu Nov  4 20:06:36 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<939710AB-4576-48D0-A5C6-545B414DAA33@gmail.com>,valentin mahrwald
Fri Nov  5 10:04:43 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<29696073.30101288965883447.JavaMail.jira@thor>,valentin mahrwald
Fri Nov  5 10:08:42 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<27135991.30631288966122026.JavaMail.jira@thor>,valentin mahrwald
Fri Nov  5 17:02:01 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<00B8EB89-C774-4880-9D7C-8591437B197E@gmail.com>,valentin mahrwald
Mon Nov  8 04:36:10 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<28588773.71801289208970267.JavaMail.jira@thor>,valentin mahrwald
Mon Nov  8 04:36:11 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<32734991.71831289208971352.JavaMail.jira@thor>,valentin mahrwald
Mon Nov  8 09:27:23 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<66684DC2-2018-4637-9CC7-6E2A5A127973@gmail.com>,valentin mahrwald
Mon Nov  8 09:41:32 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<F3AA2709-EC5F-4C44-9AFF-6A0DE343E0A1@gmail.com>,valentin mahrwald
Wed Nov 10 11:16:13 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<14605676.7631289405773314.JavaMail.jira@thor>,valentin mahrwald
Thu Nov 11 14:25:13 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<30480085.32341289503513338.JavaMail.jira@thor>,valentin mahrwald
Mon Nov 15 07:48:02 2010,http://mail-archives.apache.org/mod_mbox/aries-dev/201011.mbox/<05CA0C1A-08EE-432F-B375-71B12CF9E8DA@gmail.com>,valentin mahrwald
Tue Nov 16 09:49:44 2010,http://mail-archives.apache.org/mod_mbox/aries-user/201011.mbox/<44F4224A-32D2-4DCA-8763-3BED73C7885F@gmail.com>,valentin mahrwald
Tue Nov 16 11:21:34 2010,http://mail-archives.apache.org/mod_mbox/aries-user/201011.mbox/<0E68FBED-90C8-4DD5-9159-72BE41A90F8E@gmail.com>,valentin mahrwald
Tue Nov 16 13:49:24 2010,http://mail-archives.apache.org/mod_mbox/aries-user/201011.mbox/<1C0482A9-8B67-47F2-81ED-350CE40B7999@gmail.com>,valentin mahrwald
Tue Nov 16 15:29:34 2010,http://mail-archives.apache.org/mod_mbox/aries-user/201011.mbox/<65FD3053-4F6E-48C3-9C7F-03C50D974B27@gmail.com>,valentin mahrwald
