human_date_time,link,dealised_author_full_name
Mon Jun 15 06:20:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.69430.1434349200316@Atlassian.JIRA>,suma shivaprasad
Mon Jun 15 06:21:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.69431.1434349260338@Atlassian.JIRA>,suma shivaprasad
Mon Jun 15 06:24:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837754.1434349406000.69456.1434349441521@Atlassian.JIRA>,suma shivaprasad
Mon Jun 15 06:24:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837754.1434349406000.69457.1434349441593@Atlassian.JIRA>,suma shivaprasad
Mon Jun 15 06:28:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837755.1434349629000.69483.1434349680598@Atlassian.JIRA>,suma shivaprasad
Mon Jun 15 06:41:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.69574.1434350460319@Atlassian.JIRA>,suma shivaprasad
Mon Jun 15 09:39:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.70654.1434361140322@Atlassian.JIRA>,suma shivaprasad
Tue Jun 16 05:14:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837755.1434349629000.80429.1434431640397@Atlassian.JIRA>,suma shivaprasad
Tue Jun 16 06:10:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838024.1434422769000.80645.1434435000345@Atlassian.JIRA>,suma shivaprasad
Tue Jun 16 06:14:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838024.1434422769000.80659.1434435240362@Atlassian.JIRA>,suma shivaprasad
Tue Jun 16 06:32:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838026.1434422794000.80738.1434436320333@Atlassian.JIRA>,suma shivaprasad
Tue Jun 16 06:37:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838026.1434422794000.80757.1434436621192@Atlassian.JIRA>,suma shivaprasad
Tue Jun 16 08:33:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838022.1434422723000.81412.1434443581104@Atlassian.JIRA>,suma shivaprasad
Tue Jun 16 08:38:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838023.1434422757000.81504.1434443881227@Atlassian.JIRA>,suma shivaprasad
Wed Jun 17 06:40:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838146.1434458027000.93846.1434523200714@Atlassian.JIRA>,suma shivaprasad
Wed Jun 17 08:33:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838102.1434444863000.94476.1434529981207@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 06:58:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838757.1434625689000.117883.1434697080798@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 06:58:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12838757.1434625689000.117884.1434697080870@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 11:13:50 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<20150619111350.1515.64911@reviews.apache.org>,suma shivaprasad
Fri Jun 19 11:15:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.119361.1434712501276@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 11:15:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.119364.1434712501527@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 11:18:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.119373.1434712680382@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 11:19:02 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.119394.1434712742126@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 11:20:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.119405.1434712800409@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 12:59:01 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12839124.1434718729000.119774.1434718741754@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 15:00:02 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<20150619150002.1512.73636@reviews.apache.org>,suma shivaprasad
Fri Jun 19 15:04:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.120339.1434726240340@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 15:05:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12837753.1434349171000.120343.1434726300744@Atlassian.JIRA>,suma shivaprasad
Fri Jun 19 15:44:00 2015,http://mail-archives.apache.org/mod_mbox/atlas-dev/201506.mbox/<JIRA.12839160.1434728634000.120652.1434728640930@Atlassian.JIRA>,suma shivaprasad
