human_date_time,link,dealised_author_full_name
Sat Apr  2 17:11:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1055963468.30663.1301764265840.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr  2 20:48:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<2032518281.30767.1301777285755.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Mon Apr  4 08:21:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1684971036.31992.1301905265921.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Mon Apr  4 08:45:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1052888350.32020.1301906705801.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Mon Apr  4 08:57:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1104901008.32034.1301907425782.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Wed Apr  6 09:07:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<2076259708.37380.1302080825762.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Wed Apr  6 11:46:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<2141295893.37818.1302090365748.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr  9 12:50:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<431834970.46331.1302353405751.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr  9 12:52:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1233218893.46335.1302353525728.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr  9 12:54:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1126012216.46337.1302353645767.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr  9 14:50:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<506333152.46511.1302360605887.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr  9 15:18:06 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1637969698.46540.1302362286562.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sun Apr 10 10:35:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<137096475.47690.1302431705903.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sun Apr 10 10:35:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<2077985741.47691.1302431705931.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sun Apr 17 16:19:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<2100083440.63319.1303057145919.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sun Apr 17 16:27:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<571751604.63324.1303057625748.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sun Apr 17 18:15:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1851589640.63395.1303064105772.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Tue Apr 19 12:18:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<325780569.67050.1303215485749.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Tue Apr 19 12:36:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<878303042.67086.1303216565781.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Tue Apr 19 12:55:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<797971061.67139.1303217705988.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Tue Apr 19 12:55:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<782651097.67131.1303217705741.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Tue Apr 19 16:38:12 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<674654676.67509.1303231092512.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Thu Apr 21 14:48:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<281134116.73542.1303397285737.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Thu Apr 21 17:11:05 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1796643602.73835.1303405865876.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Fri Apr 29 18:10:03 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1255003254.12174.1304100603128.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Fri Apr 29 18:16:03 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<121334924.12209.1304100963598.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr 30 09:13:03 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1828569881.13456.1304154783192.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr 30 14:06:03 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1022358771.13587.1304172363113.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr 30 14:17:03 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<1724733528.13590.1304173023123.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
Sat Apr 30 16:34:03 2011,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201104.mbox/<56244739.13642.1304181243145.JavaMail.tomcat@hel.zones.apache.org>,reto bachmanngmr
