human_date_time,link,dealised_author_full_name
Wed Feb  3 11:46:04 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002030246u52ad765bga4790bb8b2f0f7ee@mail.gmail.com>,reto bachmanngmuer
Wed Feb  3 11:49:10 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002030249t3174342bnd315096777efda37@mail.gmail.com>,reto bachmanngmuer
Thu Feb  4 20:33:03 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002041133t28265486r5df1b96928ec6268@mail.gmail.com>,reto bachmanngmuer
Sat Feb  6 20:48:24 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002061148p1aa15ffbo8ed4ca20b07237f1@mail.gmail.com>,reto bachmanngmuer
Tue Feb  9 23:36:58 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002091436j1bfd563epaa6104fb04e29e0@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 09:14:30 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002100014k663d2372l235c82c5cf5fe8f8@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 14:58:31 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002100558m18e00591je7b35791ba190ca4@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 15:05:25 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002100605n9e527f4ye6e52668f11db045@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 16:19:18 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002100719s27d94ad4i979ed69834d7da79@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 16:44:59 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002100744k43162f2eq7bbdbf37d51bfa0c@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 19:03:57 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002101003n2498d7a9l9f334d942c334189@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 20:10:28 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002101110p78203fd4r73e27cb2884ead69@mail.gmail.com>,reto bachmanngmuer
Wed Feb 10 21:56:56 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002101256wf280ad4kac704d87eec345a2@mail.gmail.com>,reto bachmanngmuer
Thu Feb 11 16:27:37 2010,http://mail-archives.apache.org/mod_mbox/clerezza-dev/201002.mbox/<bfcea8c71002110727i33ed4219k673fe1dfd27fc275@mail.gmail.com>,reto bachmanngmuer
