human_date_time,link,dealised_author_full_name
Mon Jan 14 21:15:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13209497.1547500474000.105406.1547500500102@Atlassian.JIRA>,mark c otto
Mon Jan 14 22:11:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13209497.1547500474000.105570.1547503860042@Atlassian.JIRA>,mark c otto
Fri Jan 18 14:48:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13209497.1547500474000.132377.1547822880188@Atlassian.JIRA>,mark c otto
Fri Jan 18 14:49:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13209497.1547500474000.132381.1547822940142@Atlassian.JIRA>,mark c otto
Fri Jan 18 14:53:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13209497.1547500474000.132410.1547823180408@Atlassian.JIRA>,mark c otto
Fri Jan 18 15:00:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13115229.1501177435000.132462.1547823600488@Atlassian.JIRA>,mark c otto
Fri Jan 18 15:01:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13115229.1501177435000.132492.1547823660124@Atlassian.JIRA>,mark c otto
Fri Jan 18 16:42:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13114646.1424202476000.132996.1547829720086@Atlassian.JIRA>,mark c otto
Fri Jan 18 16:44:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13114779.1433353650000.133011.1547829840572@Atlassian.JIRA>,mark c otto
Thu Jan 24 14:45:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13211577.1548341081000.166483.1548341100333@Atlassian.JIRA>,mark c otto
Thu Jan 24 14:46:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13211577.1548341081000.166486.1548341160031@Atlassian.JIRA>,mark c otto
Thu Jan 24 22:06:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13115230.1501511930000.169101.1548367560091@Atlassian.JIRA>,mark c otto
Mon Jan 28 15:53:00 2019,http://mail-archives.apache.org/mod_mbox/daffodil-dev/201901.mbox/<JIRA.13208052.1546875233000.187817.1548690780650@Atlassian.JIRA>,mark c otto
