human_date_time,link,dealised_author_full_name
Wed Oct 12 17:28:20 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.13011421.1476205242000.806751.1476293300472@Atlassian.JIRA>,eyal allweil
Wed Oct 12 17:28:20 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.13011421.1476205242000.806749.1476293300457@Atlassian.JIRA>,eyal allweil
Thu Oct 13 12:34:21 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12758630.1417436845000.816281.1476362061281@Atlassian.JIRA>,eyal allweil
Thu Oct 13 13:46:20 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12692071.1391012724000.816978.1476366380478@Atlassian.JIRA>,eyal allweil
Sat Oct 15 19:51:20 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12757884.1416970225000.840929.1476561080428@Atlassian.JIRA>,eyal allweil
Tue Oct 18 08:28:59 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12730982.1406774574000.14563.1476779339218@Atlassian.JIRA>,eyal allweil
Tue Oct 18 08:46:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12711291.1398799762000.14652.1476780418601@Atlassian.JIRA>,eyal allweil
Tue Oct 18 17:35:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12689627.1390041918000.18719.1476812158382@Atlassian.JIRA>,eyal allweil
Tue Oct 18 20:56:13 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<CABa7DNNji6U2Ou9=mcVSyCMDS7eDuJo3_G0bExmQckd7f73Szg@mail.gmail.com>,eyal allweil
Wed Oct 19 18:01:02 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12691682.1390932995000.31239.1476900062384@Atlassian.JIRA>,eyal allweil
Wed Oct 19 18:01:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12691682.1390932995000.31245.1476900118372@Atlassian.JIRA>,eyal allweil
Wed Oct 19 18:01:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12691682.1390932995000.31248.1476900118396@Atlassian.JIRA>,eyal allweil
Thu Oct 20 08:25:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12689089.1389819967000.37577.1476951958360@Atlassian.JIRA>,eyal allweil
Thu Oct 20 14:38:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12689395.1389914290000.39909.1476974338454@Atlassian.JIRA>,eyal allweil
Tue Oct 25 17:43:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12844465.1436724925000.81309.1477417438362@Atlassian.JIRA>,eyal allweil
Tue Oct 25 18:37:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12765259.1420591380000.81937.1477420678383@Atlassian.JIRA>,eyal allweil
Wed Oct 26 06:26:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12691682.1390932995000.86743.1477463218341@Atlassian.JIRA>,eyal allweil
Wed Oct 26 18:03:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12691682.1390932995000.91930.1477505038423@Atlassian.JIRA>,eyal allweil
Wed Oct 26 18:06:59 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12691682.1390932995000.91962.1477505219275@Atlassian.JIRA>,eyal allweil
Wed Oct 26 18:50:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12757918.1416987615000.92389.1477507858390@Atlassian.JIRA>,eyal allweil
Thu Oct 27 10:06:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12715314.1400539886000.99737.1477562818344@Atlassian.JIRA>,eyal allweil
Fri Oct 28 19:42:58 2016,http://mail-archives.apache.org/mod_mbox/datafu-dev/201610.mbox/<JIRA.12710802.1398624354000.120728.1477683778775@Atlassian.JIRA>,eyal allweil
