human_date_time,link,dealised_author_full_name
Tue Oct  5 16:46:00 2004,http://mail-archives.apache.org/mod_mbox/derby-dev/200410.mbox/<41633238.1040709@sbcglobal.net>,mike matrigali
Tue Oct  5 16:48:57 2004,http://mail-archives.apache.org/mod_mbox/derby-dev/200410.mbox/<416332E9.2040302@sbcglobal.net>,mike matrigali
Tue Oct  5 16:55:41 2004,http://mail-archives.apache.org/mod_mbox/derby-dev/200410.mbox/<4163347D.7000002@sbcglobal.net>,mike matrigali
Tue Oct  5 18:00:03 2004,http://mail-archives.apache.org/mod_mbox/derby-commits/200410.mbox/<20041005180003.93172.qmail@minotaur.apache.org>,mike matrigali
Tue Oct  5 23:10:16 2004,http://mail-archives.apache.org/mod_mbox/derby-commits/200410.mbox/<20041005231016.43453.qmail@minotaur.apache.org>,mike matrigali
Tue Oct  5 23:43:38 2004,http://mail-archives.apache.org/mod_mbox/derby-commits/200410.mbox/<20041005234338.54172.qmail@minotaur.apache.org>,mike matrigali
Tue Oct 12 11:12:34 2004,http://mail-archives.apache.org/mod_mbox/derby-dev/200410.mbox/<416C1E92.7030508@sbcglobal.net>,mike matrigali
Tue Oct 12 18:08:48 2004,http://mail-archives.apache.org/mod_mbox/derby-commits/200410.mbox/<20041012180848.45630.qmail@minotaur.apache.org>,mike matrigali
Thu Oct 14 09:52:35 2004,http://mail-archives.apache.org/mod_mbox/derby-dev/200410.mbox/<416EAED3.5070309@sbcglobal.net>,mike matrigali
Wed Oct 27 19:07:48 2004,http://mail-archives.apache.org/mod_mbox/derby-commits/200410.mbox/<20041027190748.47852.qmail@minotaur.apache.org>,mike matrigali
