human_date_time,link,dealised_author_full_name
Mon Apr 11 11:23:17 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050411092317.GB24242@atum01.norway.sun.com>,bernt m johnsen
Mon Apr 11 15:25:09 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050411132509.GG24242@atum01.norway.sun.com>,bernt m johnsen
Tue Apr 12 20:03:02 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050412180302.GE17432@ac30.fr34.2y.net>,bernt m johnsen
Tue Apr 12 21:17:56 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050412191756.GG17432@ac30.fr34.2y.net>,bernt m johnsen
Tue Apr 12 21:47:20 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<822257458.1113335240643.JavaMail.jira@ajax.apache.org>,bernt m johnsen
Wed Apr 13 11:43:14 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050413094314.GI466@atum01.norway.sun.com>,bernt m johnsen
Fri Apr 15 12:28:20 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050415102820.GG22360@atum01.norway.sun.com>,bernt m johnsen
Thu Apr 21 11:07:15 2005,http://mail-archives.apache.org/mod_mbox/derby-user/200504.mbox/<20050421090715.GG8440@atum01.norway.sun.com>,bernt m johnsen
Thu Apr 21 11:26:28 2005,http://mail-archives.apache.org/mod_mbox/derby-user/200504.mbox/<20050421092628.GH8440@atum01.norway.sun.com>,bernt m johnsen
Mon Apr 25 12:38:30 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050425103830.GC14615@atum01.norway.sun.com>,bernt m johnsen
Mon Apr 25 13:01:08 2005,http://mail-archives.apache.org/mod_mbox/derby-dev/200504.mbox/<20050425110108.GD14615@atum01.norway.sun.com>,bernt m johnsen
