human_date_time,link,dealised_author_full_name
Fri Aug  1 18:40:42 2014,http://mail-archives.apache.org/mod_mbox/drill-user/201408.mbox/<CAMQDf1Se4tKqsH1mF41rLR39oZk8YEuq+9HH2DtQ=SN-RNaieA@mail.gmail.com>,andy pernsteiner
Fri Aug  1 18:55:39 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731388.1406919277285.97274.1406919339620@arcas>,andy pernsteiner
Fri Aug  1 18:55:39 2014,http://mail-archives.apache.org/mod_mbox/drill-dev/201408.mbox/<JIRA.12731388.1406919277285.97273.1406919339546@arcas>,andy pernsteiner
Fri Aug  1 18:57:39 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731388.1406919277285.97294.1406919459284@arcas>,andy pernsteiner
Fri Aug  1 19:15:39 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731388.1406919277285.97460.1406920539376@arcas>,andy pernsteiner
Fri Aug  1 19:15:39 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731388.1406919277285.97466.1406920539794@arcas>,andy pernsteiner
Fri Aug  1 20:53:39 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731388.1406919277285.98325.1406926419048@arcas>,andy pernsteiner
Fri Aug  1 21:23:39 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731388.1406919277285.98569.1406928219973@arcas>,andy pernsteiner
Sun Aug  3 14:10:32 2014,http://mail-archives.apache.org/mod_mbox/drill-user/201408.mbox/<CAMQDf1QmbzcScVDXuPTjRLP8NTPu2CMF2cxicma+JNmjEt6xrw@mail.gmail.com>,andy pernsteiner
Sun Aug  3 18:20:12 2014,http://mail-archives.apache.org/mod_mbox/drill-dev/201408.mbox/<JIRA.12731619.1407089962050.3158.1407090012197@arcas>,andy pernsteiner
Sun Aug  3 18:20:12 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731619.1407089962050.3159.1407090012285@arcas>,andy pernsteiner
Sun Aug  3 19:27:11 2014,http://mail-archives.apache.org/mod_mbox/drill-dev/201408.mbox/<JIRA.12731622.1407093918175.3288.1407094031678@arcas>,andy pernsteiner
Sun Aug  3 19:27:11 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731622.1407093918175.3289.1407094031860@arcas>,andy pernsteiner
Sun Aug  3 19:27:12 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731622.1407093918175.3290.1407094031990@arcas>,andy pernsteiner
Sun Aug  3 19:29:11 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731622.1407093918175.3295.1407094151733@arcas>,andy pernsteiner
Sun Aug  3 19:47:12 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731625.1407095182655.3341.1407095232198@arcas>,andy pernsteiner
Sun Aug  3 19:47:12 2014,http://mail-archives.apache.org/mod_mbox/drill-dev/201408.mbox/<JIRA.12731625.1407095182655.3340.1407095232114@arcas>,andy pernsteiner
Sun Aug  3 19:49:13 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731625.1407095182655.3357.1407095353448@arcas>,andy pernsteiner
Tue Aug  5 19:02:12 2014,http://mail-archives.apache.org/mod_mbox/drill-issues/201408.mbox/<JIRA.12731625.1407095182655.19239.1407265332227@arcas>,andy pernsteiner
Fri Aug 15 15:52:39 2014,http://mail-archives.apache.org/mod_mbox/drill-user/201408.mbox/<CAMQDf1SO=k9rWnGEZr1P-bGBt04Xi6-sfKY1uyW3Nmmb1XWjuA@mail.gmail.com>,andy pernsteiner
