human_date_time,link,dealised_author_full_name
Mon Nov  3 16:37:30 2014,http://mail-archives.apache.org/mod_mbox/flink-dev/201411.mbox/<9C1F2B6B-0EB7-4192-A9CD-6596C14346E4@apache.org>,ufuk celebi
Tue Nov  4 09:46:44 2014,http://mail-archives.apache.org/mod_mbox/flink-dev/201411.mbox/<CAKiyyaFzjY-dL273ZxW2VOiQQqs+p0zkUfSnrvdA5qMBnbNczg@mail.gmail.com>,ufuk celebi
Mon Nov 10 08:48:44 2014,http://mail-archives.apache.org/mod_mbox/flink-user/201411.mbox/<CAKiyyaGyCXGz=XdD889jtKfPsUNxDrf=rNaT-2haBMUmpwNGCQ@mail.gmail.com>,ufuk celebi
Mon Nov 10 09:37:12 2014,http://mail-archives.apache.org/mod_mbox/flink-user/201411.mbox/<CAKiyyaFWL3b2eZDCv6ntQDi2+vGuEAz5EshPi0Zyj2QrQOD9dw@mail.gmail.com>,ufuk celebi
Tue Nov 11 10:38:55 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141111103855.C90F59ABA3D@tyr.zones.apache.org>,ufuk celebi
Tue Nov 11 10:39:52 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141111103952.436A89ABA41@tyr.zones.apache.org>,ufuk celebi
Tue Nov 11 10:40:40 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141111104040.C5AF99ABA43@tyr.zones.apache.org>,ufuk celebi
Tue Nov 11 10:42:31 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141111104231.5CCDC9ABA4B@tyr.zones.apache.org>,ufuk celebi
Tue Nov 11 10:44:44 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141111104444.1295C9ABA56@tyr.zones.apache.org>,ufuk celebi
Tue Nov 11 10:45:19 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141111104519.66C2F9ABA62@tyr.zones.apache.org>,ufuk celebi
Tue Nov 11 10:48:49 2014,http://mail-archives.apache.org/mod_mbox/flink-commits/201411.mbox/<5f20c823a514420ea69769e00f8718ac@git.apache.org>,ufuk celebi
Tue Nov 11 10:48:50 2014,http://mail-archives.apache.org/mod_mbox/flink-commits/201411.mbox/<e7aab681e17c489fb3e4a11e1f3eb4a4@git.apache.org>,ufuk celebi
Tue Nov 11 10:54:33 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<JIRA.12754179.1415636352000.468412.1415703273969@Atlassian.JIRA>,ufuk celebi
Tue Nov 11 10:57:34 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<JIRA.12723619.1403698073000.468433.1415703454682@Atlassian.JIRA>,ufuk celebi
Tue Nov 11 11:06:34 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<JIRA.12753407.1415283919000.468476.1415703994125@Atlassian.JIRA>,ufuk celebi
Wed Nov 12 16:48:56 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141112164856.C5608A102E6@tyr.zones.apache.org>,ufuk celebi
Wed Nov 12 17:08:46 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141112170846.65A80A10445@tyr.zones.apache.org>,ufuk celebi
Wed Nov 12 17:11:26 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141112171126.08FD9A104EB@tyr.zones.apache.org>,ufuk celebi
Thu Nov 13 09:52:46 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<20141113095246.ADB2BA1393E@tyr.zones.apache.org>,ufuk celebi
Thu Nov 13 10:22:46 2014,http://mail-archives.apache.org/mod_mbox/flink-commits/201411.mbox/<5a91115cab484d9ba055e95b437d66e4@git.apache.org>,ufuk celebi
Thu Nov 13 10:23:37 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<JIRA.12753389.1415278520000.489919.1415874217959@Atlassian.JIRA>,ufuk celebi
Thu Nov 13 10:57:43 2014,http://mail-archives.apache.org/mod_mbox/flink-dev/201411.mbox/<CAKiyyaGTwDnzZXzL8EB7-LKP27xmdzo63Cs=tCkEj6ZXptbP3A@mail.gmail.com>,ufuk celebi
Thu Nov 13 10:57:43 2014,http://mail-archives.apache.org/mod_mbox/flink-issues/201411.mbox/<CAKiyyaGTwDnzZXzL8EB7-LKP27xmdzo63Cs=tCkEj6ZXptbP3A@mail.gmail.com>,ufuk celebi
