human_date_time,link,dealised_author_full_name
Fri Sep  1 22:38:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13374.1504305480235@Atlassian.JIRA>,zhixiong chen
Fri Sep  1 22:38:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13373.1504305480224@Atlassian.JIRA>,zhixiong chen
Fri Sep  1 22:39:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13381.1504305540117@Atlassian.JIRA>,zhixiong chen
Fri Sep  1 22:39:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13380.1504305540103@Atlassian.JIRA>,zhixiong chen
Fri Sep  1 22:39:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13382.1504305540126@Atlassian.JIRA>,zhixiong chen
Fri Sep  1 22:40:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13383.1504305600056@Atlassian.JIRA>,zhixiong chen
Fri Sep  1 22:40:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13384.1504305600066@Atlassian.JIRA>,zhixiong chen
Fri Sep  1 22:43:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.13391.1504305780046@Atlassian.JIRA>,zhixiong chen
Thu Sep  7 17:26:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.51830.1504805160555@Atlassian.JIRA>,zhixiong chen
Thu Sep  7 18:34:00 2017,http://mail-archives.apache.org/mod_mbox/gobblin-dev/201709.mbox/<JIRA.13099335.1504305420000.52610.1504809240047@Atlassian.JIRA>,zhixiong chen
