human_date_time,link,dealised_author_full_name
Wed Jul  5 08:56:56 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBww=p=otZ-dcapaRtm7yki9-2OwBUcWbHUfYViAy78Wa_A@mail.gmail.com>,edward capriolo
Wed Jul  5 15:14:00 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13084052.1499000337000.174434.1499267640243@Atlassian.JIRA>,edward capriolo
Wed Jul  5 16:10:56 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBwxr47Pci_9qcFO=YjvD+j4La7-Hu4zTsYUfv3bD6_Cmog@mail.gmail.com>,edward capriolo
Wed Jul  5 19:56:00 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13084052.1499000337000.176900.1499284560805@Atlassian.JIRA>,edward capriolo
Thu Jul  6 00:39:01 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13084052.1499000337000.179365.1499301541363@Atlassian.JIRA>,edward capriolo
Thu Jul  6 00:39:01 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13084052.1499000337000.179361.1499301541344@Atlassian.JIRA>,edward capriolo
Thu Jul  6 00:39:01 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13084052.1499000337000.179356.1499301541321@Atlassian.JIRA>,edward capriolo
Thu Jul  6 18:26:18 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBwyOasC6apT154HBQMAMffX1Gegh+yknWFC1qeS2TYHQ7Q@mail.gmail.com>,edward capriolo
Tue Jul 11 12:58:26 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBwwMPOKKGz_QkOVr+3Hru3D+eUdKjoJvzJ_CWAgYb4NEWw@mail.gmail.com>,edward capriolo
Mon Jul 17 17:31:12 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBwzhe0xtF8sJueFmhu5+mZ4J1WinmyuS63CUeAEF_3MvXQ@mail.gmail.com>,edward capriolo
Mon Jul 17 22:58:11 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201707.mbox/<c58f9108ef5948e98d4893a5fee6e61b@git.apache.org>,edward capriolo
Mon Jul 17 22:59:00 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13046493.1488138248000.268304.1500332340337@Atlassian.JIRA>,edward capriolo
Mon Jul 17 22:59:00 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13046493.1488138248000.268296.1500332340301@Atlassian.JIRA>,edward capriolo
Tue Jul 18 22:30:49 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBwz0Dp4HKHuXaO_pBLuquDzKq02C1i-=kPz7Ah_=NQwj0Q@mail.gmail.com>,edward capriolo
Mon Jul 31 10:58:09 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBwwFFneYJCxrtccnjgSajVGkHiLy8AQ67S1fBM768wwH9A@mail.gmail.com>,edward capriolo
Mon Jul 31 15:31:01 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13032881.1483890723000.52542.1501515061164@Atlassian.JIRA>,edward capriolo
Mon Jul 31 15:32:00 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<JIRA.13032881.1483890723000.52553.1501515120619@Atlassian.JIRA>,edward capriolo
Mon Jul 31 19:47:46 2017,http://mail-archives.apache.org/mod_mbox/gossip-dev/201707.mbox/<CAENxBwwZehd0SuaEX4NFvFrvuS0Hb-t+ZXO=8ZtoQfE5WpWLLw@mail.gmail.com>,edward capriolo
