human_date_time,link,dealised_author_full_name
Fri Jul  3 04:55:04 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12842470.1435880294000.91720.1435899304768@Atlassian.JIRA>,jochen theodorou
Sun Jul  5 10:16:04 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12842724.1436086718000.100308.1436091364566@Atlassian.JIRA>,jochen theodorou
Sun Jul  5 15:43:04 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12842724.1436086718000.100788.1436110984564@Atlassian.JIRA>,jochen theodorou
Sun Jul  5 17:40:06 2015,http://mail-archives.apache.org/mod_mbox/groovy-dev/201507.mbox/<55994FD6.8030906@gmx.org>,jochen theodorou
Mon Jul  6 06:35:57 2015,http://mail-archives.apache.org/mod_mbox/groovy-users/201507.mbox/<559A05AD.3070404@gmx.org>,jochen theodorou
Tue Jul  7 18:39:51 2015,http://mail-archives.apache.org/mod_mbox/groovy-dev/201507.mbox/<559C00D7.2020101@gmx.org>,jochen theodorou
Thu Jul  9 07:37:04 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12843155.1436266481000.139706.1436427424633@Atlassian.JIRA>,jochen theodorou
Thu Jul  9 07:37:05 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12843155.1436266481000.139708.1436427425011@Atlassian.JIRA>,jochen theodorou
Thu Jul  9 07:37:05 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12843155.1436266481000.139712.1436427425280@Atlassian.JIRA>,jochen theodorou
Thu Jul  9 15:57:44 2015,http://mail-archives.apache.org/mod_mbox/groovy-commits/201507.mbox/<26e3c972ba1b4663b799115c8e7083ce@git.apache.org>,jochen theodorou
Thu Jul  9 15:57:45 2015,http://mail-archives.apache.org/mod_mbox/groovy-commits/201507.mbox/<b051b7dd69504aeabcdf6033b0f870cd@git.apache.org>,jochen theodorou
Thu Jul  9 16:28:05 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12817453.1396945180000.144362.1436459285113@Atlassian.JIRA>,jochen theodorou
Thu Jul  9 16:28:44 2015,http://mail-archives.apache.org/mod_mbox/groovy-commits/201507.mbox/<11de43076aaa4e99ae02a094907993f9@git.apache.org>,jochen theodorou
Thu Jul  9 16:28:45 2015,http://mail-archives.apache.org/mod_mbox/groovy-commits/201507.mbox/<c48d2b142ec8412c8adfaa33817955b5@git.apache.org>,jochen theodorou
Thu Jul  9 16:28:46 2015,http://mail-archives.apache.org/mod_mbox/groovy-commits/201507.mbox/<6f625c9ced2f4a548ab3b9a7164aeeb6@git.apache.org>,jochen theodorou
Thu Jul  9 16:44:05 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12843151.1436264933000.144497.1436460245968@Atlassian.JIRA>,jochen theodorou
Fri Jul 10 05:48:04 2015,http://mail-archives.apache.org/mod_mbox/groovy-notifications/201507.mbox/<JIRA.12844032.1436495230000.151084.1436507284687@Atlassian.JIRA>,jochen theodorou
Sat Jul 11 08:25:53 2015,http://mail-archives.apache.org/mod_mbox/groovy-users/201507.mbox/<55A0B6F1.8050007@gmx.org>,jochen theodorou
Sat Jul 11 08:27:46 2015,http://mail-archives.apache.org/mod_mbox/groovy-dev/201507.mbox/<55A0B762.6040804@gmx.org>,jochen theodorou
Mon Jul 13 18:48:14 2015,http://mail-archives.apache.org/mod_mbox/groovy-dev/201507.mbox/<55A3EBCE.4010808@gmx.org>,jochen theodorou
Mon Jul 13 20:46:27 2015,http://mail-archives.apache.org/mod_mbox/groovy-users/201507.mbox/<55A40783.8040109@gmx.org>,jochen theodorou
