human_date_time,link,dealised_author_full_name
Tue Nov  1 22:45:37 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201611.mbox/<20161101224537.68A06E0FC4@git1-us-west.apache.org>,asfgit
Tue Nov  1 23:23:14 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201611.mbox/<20161101232314.9BBBDE0C0A@git1-us-west.apache.org>,asfgit
Thu Nov  3 08:24:36 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161103082436.1A93EDFE93@git1-us-west.apache.org>,asfgit
Mon Nov  7 09:47:58 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161107094758.55558E02E4@git1-us-west.apache.org>,asfgit
Mon Nov  7 17:54:38 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201611.mbox/<20161107175438.DADDAE0AF6@git1-us-west.apache.org>,asfgit
Mon Nov  7 18:24:55 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201611.mbox/<20161107182455.82D13E094C@git1-us-west.apache.org>,asfgit
Wed Nov  9 09:45:24 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161109094525.069C2E01F4@git1-us-west.apache.org>,asfgit
Thu Nov 10 01:56:17 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161110015617.CB73DE3AA8@git1-us-west.apache.org>,asfgit
Mon Nov 14 18:14:42 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201611.mbox/<20161114181442.67E31DFFAB@git1-us-west.apache.org>,asfgit
Tue Nov 15 01:16:33 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161115011633.90277DFFAB@git1-us-west.apache.org>,asfgit
Tue Nov 15 02:55:55 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161115025555.C18C9E00C7@git1-us-west.apache.org>,asfgit
Wed Nov 16 12:28:11 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161116122811.7EAF8E00C7@git1-us-west.apache.org>,asfgit
Tue Nov 22 02:41:58 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161122024158.1FC77E1772@git1-us-west.apache.org>,asfgit
Tue Nov 22 06:50:12 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161122065012.33036E78AE@git1-us-west.apache.org>,asfgit
Fri Nov 25 09:04:22 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161125090422.A531AE0158@git1-us-west.apache.org>,asfgit
Tue Nov 29 10:15:14 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201611.mbox/<20161129101514.45C08E01F4@git1-us-west.apache.org>,asfgit
