human_date_time,link,dealised_author_full_name
Mon Jan  4 06:01:25 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160104060125.48117DFF7E@git1-us-west.apache.org>,zhanwei wang
Tue Jan  5 07:18:32 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160105071832.432DBDFE5F@git1-us-west.apache.org>,zhanwei wang
Tue Jan  5 07:18:41 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160105071841.DB9C9DFE5F@git1-us-west.apache.org>,zhanwei wang
Tue Jan  5 07:19:44 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160105071944.C56FBDFE5F@git1-us-west.apache.org>,zhanwei wang
Tue Jan  5 07:20:05 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160105072005.76FD1DFE5F@git1-us-west.apache.org>,zhanwei wang
Tue Jan  5 07:20:34 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160105072034.0B8A2DFE5F@git1-us-west.apache.org>,zhanwei wang
Tue Jan  5 07:24:58 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160105072458.2205DDFFF8@git1-us-west.apache.org>,zhanwei wang
Wed Jan  6 06:43:53 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160106064353.2FED3E01C1@git1-us-west.apache.org>,zhanwei wang
Wed Jan  6 08:14:10 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160106081410.13CC4E002C@git1-us-west.apache.org>,zhanwei wang
Thu Jan  7 04:28:22 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160107042822.C2DC0DFDC7@git1-us-west.apache.org>,zhanwei wang
Thu Jan  7 04:29:06 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160107042906.DCCADDFDC7@git1-us-west.apache.org>,zhanwei wang
Thu Jan  7 04:37:14 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160107043714.5DB4EDFDC7@git1-us-west.apache.org>,zhanwei wang
Thu Jan  7 04:37:40 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160107043740.4FE7BDFDC7@git1-us-west.apache.org>,zhanwei wang
Thu Jan  7 04:38:22 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160107043822.8E00FDFDC7@git1-us-west.apache.org>,zhanwei wang
Fri Jan 15 08:44:00 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160115084400.6498EDFA42@git1-us-west.apache.org>,zhanwei wang
Tue Jan 19 02:19:21 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160119021921.D8A6FE0484@git1-us-west.apache.org>,zhanwei wang
Wed Jan 20 07:44:40 2016,http://mail-archives.apache.org/mod_mbox/hawq-issues/201601.mbox/<JIRA.12931614.1452905160000.155893.1453275880020@Atlassian.JIRA>,zhanwei wang
Thu Jan 21 01:49:51 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160121014951.8C233DFF93@git1-us-west.apache.org>,zhanwei wang
Fri Jan 22 01:58:53 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160122015853.0C9EADFF94@git1-us-west.apache.org>,zhanwei wang
Tue Jan 26 15:59:36 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<CAPe6M9=chHLs0LrARtcupGXVKE+==76MSvwddQbQr-ZfirVNig@mail.gmail.com>,zhanwei wang
Fri Jan 29 03:44:44 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160129034444.AD432DFF96@git1-us-west.apache.org>,zhanwei wang
Fri Jan 29 08:32:14 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201601.mbox/<20160129083214.E82A0DFF96@git1-us-west.apache.org>,zhanwei wang
