human_date_time,link,dealised_author_full_name
Wed Mar  2 01:12:51 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160302011252.08DEFDFCF2@git1-us-west.apache.org>,xinzweb
Wed Mar  2 17:01:19 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160302170119.02BD3E00FF@git1-us-west.apache.org>,xinzweb
Mon Mar 14 20:27:12 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160314202712.20D0FDFAB5@git1-us-west.apache.org>,xinzweb
Mon Mar 14 21:04:24 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160314210424.43FB1DFBC9@git1-us-west.apache.org>,xinzweb
Tue Mar 15 01:24:16 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160315012416.6031ADFBC9@git1-us-west.apache.org>,xinzweb
Tue Mar 15 01:26:13 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160315012613.C4F93DFBC9@git1-us-west.apache.org>,xinzweb
Fri Mar 25 17:22:27 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<git-pr-511-incubator-hawq@git.apache.org>,xinzweb
Fri Mar 25 17:27:52 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160325172752.7D118DFCDD@git1-us-west.apache.org>,xinzweb
Sat Mar 26 00:45:35 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<git-pr-512-incubator-hawq@git.apache.org>,xinzweb
Sat Mar 26 00:45:41 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160326004541.6C4A8DFDE0@git1-us-west.apache.org>,xinzweb
Mon Mar 28 16:46:06 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160328164606.344A5DFC8E@git1-us-west.apache.org>,xinzweb
Mon Mar 28 16:46:06 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160328164606.4D13EDFDEC@git1-us-west.apache.org>,xinzweb
Mon Mar 28 17:16:07 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160328171607.4872EDFC8E@git1-us-west.apache.org>,xinzweb
Mon Mar 28 17:17:23 2016,http://mail-archives.apache.org/mod_mbox/hawq-dev/201603.mbox/<20160328171723.1A69ADFC8E@git1-us-west.apache.org>,xinzweb
