human_date_time,link,dealised_author_full_name
Tue Apr  7 02:18:49 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<556594724.1072162.1586225929793@mail.yahoo.com>,balaji varadarajan
Tue Apr  7 22:45:43 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1809259857.1450971.1586299543513@mail.yahoo.com>,balaji varadarajan
Tue Apr  7 22:55:01 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1871909689.1497515.1586300101982@mail.yahoo.com>,balaji varadarajan
Thu Apr 16 17:46:01 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1343317713.6728.1587059161248@mail.yahoo.com>,balaji varadarajan
Thu Apr 16 17:55:03 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1142907413.1136573.1587059703545@mail.yahoo.com>,balaji varadarajan
Thu Apr 16 18:44:47 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1604981733.1162938.1587062687169@mail.yahoo.com>,balaji varadarajan
Wed Apr 22 16:11:46 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1980211560.666360.1587571906327@mail.yahoo.com>,balaji varadarajan
Wed Apr 22 16:12:25 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1472231391.668922.1587571945229@mail.yahoo.com>,balaji varadarajan
Wed Apr 22 22:20:12 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1533553379.8626.1587594012932@mail.yahoo.com>,balaji varadarajan
Sun Apr 26 20:12:34 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<pony-290841979728576afeed55adc871ce4e9e7104ef-12e44e003cc5db7c8642a550b099c7ef4dd55d13@dev.hudi.apache.org>,balaji varadarajan
Tue Apr 28 15:45:22 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1665510661.1071312.1588088722801@mail.yahoo.com>,balaji varadarajan
Thu Apr 30 03:57:36 2020,http://mail-archives.apache.org/mod_mbox/hudi-dev/202004.mbox/<1729725668.1761344.1588219056876@mail.yahoo.com>,balaji varadarajan
