human_date_time,link,dealised_author_full_name
Tue Nov  1 00:47:20 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611010047.uA10lKwA003188@ip-10-146-233-104.ec2.internal>,lars volker
Tue Nov  1 19:21:52 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<gerrit.1478028112000.Ia484b70e5545fe696b8aadcbb9a0b36555a0918d@gerrit.cloudera.org>,lars volker
Wed Nov  2 06:48:08 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611020648.uA26m8K3030583@ip-10-146-233-104.ec2.internal>,lars volker
Wed Nov  2 17:30:45 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611021730.uA2HUjpH004261@ip-10-146-233-104.ec2.internal>,lars volker
Wed Nov  2 20:30:40 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611022030.uA2KUeE7011151@ip-10-146-233-104.ec2.internal>,lars volker
Thu Nov  3 10:22:52 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611031022.uA3AMqoU022897@ip-10-146-233-104.ec2.internal>,lars volker
Thu Nov  3 11:43:57 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611031143.uA3BhvMc023685@ip-10-146-233-104.ec2.internal>,lars volker
Thu Nov  3 12:09:41 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611031209.uA3C9fVG024542@ip-10-146-233-104.ec2.internal>,lars volker
Thu Nov  3 14:14:29 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611031414.uA3EEUpH024971@ip-10-146-233-104.ec2.internal>,lars volker
Thu Nov  3 14:15:11 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611031415.uA3EFBcA024990@ip-10-146-233-104.ec2.internal>,lars volker
Thu Nov  3 16:47:59 2016,http://mail-archives.apache.org/mod_mbox/impala-reviews/201611.mbox/<201611031648.uA3Gm0sq026744@ip-10-146-233-104.ec2.internal>,lars volker
