human_date_time,link,dealised_author_full_name
Mon May  2 22:29:27 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<gerrit.1462228165080.Iad2ce4e579a30616c469312a4e658140d317507b@gerrit.cloudera.org>,dimitris tsirogiannis
Tue May  3 10:51:49 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<CAEtx3x2fRHqGCZsiV_8Hm1Z_jVsZCMtgqUNYwMSNr2CPDNshKQ@mail.gmail.com>,dimitris tsirogiannis
Fri May  6 03:19:10 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<gerrit.1462504748412.I6b3a0d10f5e88c6a0a10bd20f620562d2de7ab25@gerrit.cloudera.org>,dimitris tsirogiannis
Fri May  6 16:13:53 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605061613.u46GDtYh009257@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Fri May  6 16:14:01 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605061614.u46GE1Ec009267@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Fri May  6 16:14:28 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605061614.u46GESh9009293@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Sat May  7 00:54:00 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605070054.u470s0s9021913@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Sat May  7 01:36:56 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605070136.u471autW022616@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Mon May  9 19:50:56 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605091950.u49Jov9b015391@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Mon May  9 19:51:18 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605091951.u49JpKQ7015408@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Mon May  9 19:53:21 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605091953.u49JrLxs015440@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Tue May 10 21:41:32 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<gerrit.1462916490256.Iecc737106fd38aa4af0c72959a577adfb413728d@gerrit.cloudera.org>,dimitris tsirogiannis
Wed May 11 03:17:43 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605110317.u4B3Hhfm019227@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Thu May 12 00:10:02 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605120010.u4C0A26u008479@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Thu May 12 00:10:19 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605120010.u4C0AOf4008504@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Thu May 12 03:05:44 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605120305.u4C35iYx012894@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Thu May 12 03:06:01 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605120306.u4C3631J012963@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
Thu May 12 07:05:54 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201605.mbox/<201605120705.u4C75tbm017257@ip-10-146-233-104.ec2.internal>,dimitris tsirogiannis
