human_date_time,link,dealised_author_full_name
Thu Jun  2 00:48:11 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606020048.u520mCde023538@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  2 00:55:35 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606020055.u520tZBG024391@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  2 00:56:03 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606020056.u520u7cG024422@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  2 23:18:57 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606022318.u52NIwXE015148@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  2 23:20:18 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606022320.u52NKVvE015197@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  2 23:43:09 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606022343.u52Nh9fY015980@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Fri Jun  3 20:53:09 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606032053.u53KrP54009356@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Fri Jun  3 20:53:28 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<gerrit.1464987189000.I436391a40285d9a6bcef2d112d256d0aa734b888@gerrit.cloudera.org>,skye wandermanmilne
Fri Jun  3 22:26:48 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606032226.u53MQncB012378@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Fri Jun  3 22:53:23 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606032253.u53MrN9o013173@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Fri Jun  3 22:54:37 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606032254.u53Msw7p013297@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Wed Jun  8 15:54:58 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606081555.u58Ft2j7014629@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Wed Jun  8 15:55:17 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606081555.u58FtHBk014663@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Wed Jun  8 16:01:07 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606081601.u58G17i5015000@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 00:08:55 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606090008.u5908umM030171@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 00:38:21 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606090038.u590cTrT030880@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 00:40:15 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606090040.u590eFcG031152@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 17:50:57 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606091750.u59HowVW012229@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 17:51:09 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606091751.u59HpKaG012251@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 17:53:02 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606091753.u59Hr2Aq012317@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 20:45:28 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606092045.u59KjSHK016768@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 20:46:00 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606092046.u59KkFIs016809@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Thu Jun  9 21:05:10 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606092105.u59L5AoJ017661@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Fri Jun 10 18:02:32 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606101802.u5AI2olq003059@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
Fri Jun 10 18:04:50 2016,http://mail-archives.apache.org/mod_mbox/impala-dev/201606.mbox/<201606101804.u5AI4ofp003133@ip-10-146-233-104.ec2.internal>,skye wandermanmilne
