human_date_time,link,dealised_author_full_name
Mon Feb  2 21:38:57 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040202213857.65343.qmail@minotaur.apache.org>,stephen viens
Mon Feb  2 21:42:39 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040202214239.68024.qmail@minotaur.apache.org>,stephen viens
Mon Feb  2 21:50:08 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040202215008.72869.qmail@minotaur.apache.org>,stephen viens
Mon Feb  2 21:55:30 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040202215530.75637.qmail@minotaur.apache.org>,stephen viens
Fri Feb 13 16:27:28 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040213162728.75618.qmail@minotaur.apache.org>,stephen viens
Fri Feb 20 04:43:55 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040220044355.30440.qmail@minotaur.apache.org>,stephen viens
Sat Feb 28 03:22:34 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040228032234.5358.qmail@minotaur.apache.org>,stephen viens
Sat Feb 28 03:24:05 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040228032405.6057.qmail@minotaur.apache.org>,stephen viens
Sat Feb 28 03:26:00 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040228032600.7616.qmail@minotaur.apache.org>,stephen viens
Sun Feb 29 18:34:16 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040229183416.45859.qmail@minotaur.apache.org>,stephen viens
Sun Feb 29 19:00:45 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040229190045.55777.qmail@minotaur.apache.org>,stephen viens
Sun Feb 29 19:10:23 2004,http://mail-archives.apache.org/mod_mbox/juddi-commits/200402.mbox/<20040229191023.58510.qmail@minotaur.apache.org>,stephen viens
