human_date_time,link,dealised_author_full_name
Sun Dec 14 07:22:55 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6yaELAhjBhEFW_cR3L+fEJ3S7Qy6kHXxBf-TCn+mVtH7Q@mail.gmail.com>,dietz randall
Sun Dec 14 08:46:53 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6xkUeRV3sAc41wJWk_0OZY_ODZ7b-2+rf84qMq0RL14MQ@mail.gmail.com>,dietz randall
Mon Dec 15 20:21:04 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6wHYri51v55f_hXdO9CsyDVwCQjL5fojdPh9advmZQdRA@mail.gmail.com>,dietz randall
Tue Dec 16 18:14:33 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6wXG0YZvjKMawHfE-v+9hQNWPuRpNUNQ-YjOH7gvAhVQg@mail.gmail.com>,dietz randall
Tue Dec 16 19:08:04 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6zUmBawmr3RSfW4mMRtjwJ-=+U+HcXZDbtW1SE794VdZQ@mail.gmail.com>,dietz randall
Thu Dec 18 05:51:11 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6wFVeb200KL2Y1M9dKKRbuZoF0n9iTKWpt-c_HSYEdc7w@mail.gmail.com>,dietz randall
Thu Dec 18 11:00:08 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6yeFNmhbg66mGRdY7GmqJMvYAxLwX-+TNihJT5wBU1WMA@mail.gmail.com>,dietz randall
Thu Dec 18 19:18:04 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6wwqwZDRqnqOA+YffW3wnJn2KnfwVNg3nn55DstmiRDXw@mail.gmail.com>,dietz randall
Fri Dec 19 05:43:06 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6y06GiAH2jWzuYayNZRLMj=iGm6Wf7mRdS8PzR5KDvYtg@mail.gmail.com>,dietz randall
Sun Dec 28 18:08:00 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6x+ZOt4sKKOG5270QHi6C+vMt09d=LRXYMfPLaQcDpA8Q@mail.gmail.com>,dietz randall
Mon Dec 29 07:38:46 2014,http://mail-archives.apache.org/mod_mbox/kalumet-dev/201412.mbox/<CAKWfx6yhg=Cd74njVcN+6qfXyz1CweKG969xxQAuTsd5NYqTUQ@mail.gmail.com>,dietz randall
