human_date_time,link,dealised_author_full_name
Wed Oct  7 11:23:19 2009,http://mail-archives.apache.org/mod_mbox/kato-dev/200910.mbox/<4ACC6C17.9050701@stoo.me.uk>,stuart monteith
Fri Oct  9 11:36:19 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4ACF1223.4060400@stoo.me.uk>,stuart monteith
Mon Oct 12 11:51:21 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4AD30A29.2020905@stoo.me.uk>,stuart monteith
Tue Oct 13 11:49:53 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4AD45B51.1070305@stoo.me.uk>,stuart monteith
Tue Oct 13 21:41:44 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4AD4E608.9000108@stoo.me.uk>,stuart monteith
Wed Oct 14 17:09:27 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4AD5F7B7.7040704@stoo.me.uk>,stuart monteith
Tue Oct 20 18:32:35 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4ADDF433.8050700@stoo.me.uk>,stuart monteith
Wed Oct 21 15:53:25 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4ADF2065.4040900@stoo.me.uk>,stuart monteith
Thu Oct 22 15:51:13 2009,http://mail-archives.apache.org/mod_mbox/kato-spec/200910.mbox/<4AE07161.8080302@stoo.me.uk>,stuart monteith
Thu Oct 22 15:51:13 2009,http://mail-archives.apache.org/mod_mbox/kato-dev/200910.mbox/<4AE07161.8080302@stoo.me.uk>,stuart monteith
Thu Oct 29 18:02:22 2009,http://mail-archives.apache.org/mod_mbox/kato-dev/200910.mbox/<4AE9D8AE.6030801@stoo.me.uk>,stuart monteith
