human_date_time,link,dealised_author_full_name
Thu Dec  1 19:57:49 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4ED8309D.3090206@peknet.com>,peter karman
Thu Dec  1 20:13:30 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4ED8344A.1030206@peknet.com>,peter karman
Thu Dec  1 20:13:30 2011,http://mail-archives.apache.org/mod_mbox/lucy-user/201112.mbox/<4ED8344A.1030206@peknet.com>,peter karman
Fri Dec  2 19:58:08 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4ED98230.1030004@peknet.com>,peter karman
Sat Dec  3 08:40:21 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4EDA34D5.80602@peknet.com>,peter karman
Sat Dec 10 20:39:17 2011,http://mail-archives.apache.org/mod_mbox/lucy-user/201112.mbox/<4EE417D5.6060904@peknet.com>,peter karman
Sun Dec 11 20:37:30 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4EE568EA.2080502@peknet.com>,peter karman
Mon Dec 12 02:28:30 2011,http://mail-archives.apache.org/mod_mbox/lucy-issues/201112.mbox/<1776191623.155.1323656910600.JavaMail.tomcat@hel.zones.apache.org>,peter karman
Mon Dec 12 02:28:32 2011,http://mail-archives.apache.org/mod_mbox/lucy-issues/201112.mbox/<1136067025.158.1323656912700.JavaMail.tomcat@hel.zones.apache.org>,peter karman
Wed Dec 14 04:18:28 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4EE877F4.50307@peknet.com>,peter karman
Wed Dec 14 04:29:05 2011,http://mail-archives.apache.org/mod_mbox/lucy-user/201112.mbox/<4EE87A71.5080703@peknet.com>,peter karman
Wed Dec 14 04:41:11 2011,http://mail-archives.apache.org/mod_mbox/lucy-user/201112.mbox/<4EE87D47.5050502@peknet.com>,peter karman
Thu Dec 15 20:45:52 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4EEAB0E0.1030404@peknet.com>,peter karman
Wed Dec 21 08:36:54 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4EF1EF06.6090601@peknet.com>,peter karman
Wed Dec 28 10:15:38 2011,http://mail-archives.apache.org/mod_mbox/lucy-dev/201112.mbox/<4EFB40AA.5020507@peknet.com>,peter karman
