human_date_time,link,dealised_author_full_name
Tue Aug  4 00:08:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850851.1413851199000.361966.1438646884776@Atlassian.JIRA>,adam b
Tue Aug  4 00:09:05 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850850.1413850963000.361975.1438646945375@Atlassian.JIRA>,adam b
Tue Aug  4 00:09:05 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850857.1421809077000.361974.1438646945311@Atlassian.JIRA>,adam b
Tue Aug  4 00:09:05 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850849.1413850357000.361977.1438646945505@Atlassian.JIRA>,adam b
Tue Aug  4 00:10:05 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850848.1413850296000.361980.1438647005000@Atlassian.JIRA>,adam b
Tue Aug  4 00:11:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850882.1424850140000.361984.1438647064741@Atlassian.JIRA>,adam b
Tue Aug  4 00:11:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850882.1424850140000.361982.1438647064544@Atlassian.JIRA>,adam b
Tue Aug  4 00:12:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850881.1424849756000.361985.1438647124541@Atlassian.JIRA>,adam b
Tue Aug  4 00:14:05 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850877.1424847068000.362000.1438647245136@Atlassian.JIRA>,adam b
Tue Aug  4 00:15:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850877.1424847068000.362002.1438647304553@Atlassian.JIRA>,adam b
Tue Aug  4 00:15:05 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850872.1424846631000.362006.1438647305147@Atlassian.JIRA>,adam b
Tue Aug  4 00:16:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850852.1415654908000.362011.1438647364892@Atlassian.JIRA>,adam b
Tue Aug  4 00:16:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850872.1424846631000.362007.1438647364603@Atlassian.JIRA>,adam b
Tue Aug  4 00:16:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850852.1415654908000.362008.1438647364696@Atlassian.JIRA>,adam b
Tue Aug  4 00:26:04 2015,http://mail-archives.apache.org/mod_mbox/myriad-dev/201508.mbox/<JIRA.12850881.1424849756000.362083.1438647964563@Atlassian.JIRA>,adam b
