human_date_time,link,dealised_author_full_name
Wed Jun  3 21:14:38 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12781818.1426256433000.4379.1433366078313@Atlassian.JIRA>,michael moser
Wed Jun  3 21:41:39 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12777302.1424812928000.4674.1433367699616@Atlassian.JIRA>,michael moser
Tue Jun  9 03:06:00 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12832272.1432329264000.24019.1433819160839@Atlassian.JIRA>,michael moser
Tue Jun  9 03:12:00 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12832272.1432329264000.24050.1433819520949@Atlassian.JIRA>,michael moser
Thu Jun 11 15:34:01 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12832272.1432329264000.46694.1434036841697@Atlassian.JIRA>,michael moser
Thu Jun 11 15:36:00 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12832272.1432329264000.46719.1434036960958@Atlassian.JIRA>,michael moser
Thu Jun 11 15:36:00 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12832272.1432329264000.46715.1434036960658@Atlassian.JIRA>,michael moser
Thu Jun 11 16:14:00 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12777302.1424812928000.47212.1434039240789@Atlassian.JIRA>,michael moser
Thu Jun 11 16:14:01 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12777302.1424812928000.47219.1434039241442@Atlassian.JIRA>,michael moser
Thu Jun 18 21:57:00 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12838957.1434664613000.114348.1434664620784@Atlassian.JIRA>,michael moser
Mon Jun 29 13:16:04 2015,http://mail-archives.apache.org/mod_mbox/nifi-commits/201506.mbox/<JIRA.12781818.1426256433000.43322.1435583764684@Atlassian.JIRA>,michael moser
