human_date_time,link,dealised_author_full_name
Wed Oct 10 05:54:00 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.77892.1539150840110@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79178.1539162421981@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79148.1539162421816@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79139.1539162421758@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79154.1539162421854@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79166.1539162421921@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79172.1539162421951@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79136.1539162421728@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:01 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79160.1539162421887@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:02 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79190.1539162422042@Atlassian.JIRA>,asf github bot
Wed Oct 10 09:07:02 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.79184.1539162422012@Atlassian.JIRA>,asf github bot
Wed Oct 10 17:53:00 2018,http://mail-archives.apache.org/mod_mbox/omid-dev/201810.mbox/<JIRA.13140224.1519313392000.82917.1539193980600@Atlassian.JIRA>,asf github bot
