human_date_time,link,dealised_author_full_name
Wed Jun 13 18:31:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<896786455.13475.1339612303004.JavaMail.jiratomcat@issues-vm>,robert kanter
Mon Jun 18 16:19:43 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<199777999.25422.1340036383506.JavaMail.jiratomcat@issues-vm>,robert kanter
Mon Jun 18 20:33:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<1026342446.26729.1340051622896.JavaMail.jiratomcat@issues-vm>,robert kanter
Mon Jun 18 22:14:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<1184085207.27117.1340057682613.JavaMail.jiratomcat@issues-vm>,robert kanter
Mon Jun 18 22:16:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<2046243628.27120.1340057802664.JavaMail.jiratomcat@issues-vm>,robert kanter
Mon Jun 18 22:46:43 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<201168944.27234.1340059603776.JavaMail.jiratomcat@issues-vm>,robert kanter
Mon Jun 18 23:07:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<428907663.27298.1340060862931.JavaMail.jiratomcat@issues-vm>,robert kanter
Tue Jun 19 15:40:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<412158666.30215.1340120443128.JavaMail.jiratomcat@issues-vm>,robert kanter
Tue Jun 19 16:55:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<929099633.30519.1340124942900.JavaMail.jiratomcat@issues-vm>,robert kanter
Tue Jun 19 17:40:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<940813520.30627.1340127642905.JavaMail.jiratomcat@issues-vm>,robert kanter
Tue Jun 19 23:42:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<651157463.32165.1340149362497.JavaMail.jiratomcat@issues-vm>,robert kanter
Tue Jun 19 23:46:43 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<863155377.32179.1340149603562.JavaMail.jiratomcat@issues-vm>,robert kanter
Tue Jun 19 23:50:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<1555559495.32197.1340149842859.JavaMail.jiratomcat@issues-vm>,robert kanter
Tue Jun 19 23:52:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<129717264.32198.1340149963169.JavaMail.jiratomcat@issues-vm>,robert kanter
Wed Jun 20 15:47:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<811317436.34401.1340207262781.JavaMail.jiratomcat@issues-vm>,robert kanter
Wed Jun 20 16:38:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<1403305090.34550.1340210322603.JavaMail.jiratomcat@issues-vm>,robert kanter
Wed Jun 20 18:18:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<2123668788.35098.1340216322573.JavaMail.jiratomcat@issues-vm>,robert kanter
Wed Jun 20 18:40:42 2012,http://mail-archives.apache.org/mod_mbox/oozie-dev/201206.mbox/<615570356.35293.1340217643204.JavaMail.jiratomcat@issues-vm>,robert kanter
