human_date_time,link,dealised_author_full_name
Sat Sep  1 00:36:29 2012,http://mail-archives.apache.org/mod_mbox/openoffice-utenti-it/201209.mbox/<50413C6D.8060005@apache.org>,andrea pescetti
Sat Sep  1 16:26:40 2012,http://mail-archives.apache.org/mod_mbox/openoffice-utenti-it/201209.mbox/<50421B20.9050602@apache.org>,andrea pescetti
Sat Sep  1 16:59:41 2012,http://mail-archives.apache.org/mod_mbox/openoffice-utenti-it/201209.mbox/<504222DD.6000307@apache.org>,andrea pescetti
Sat Sep  1 20:38:34 2012,http://mail-archives.apache.org/mod_mbox/openoffice-utenti-it/201209.mbox/<5042562A.5010507@apache.org>,andrea pescetti
Sat Sep  1 20:53:14 2012,http://mail-archives.apache.org/mod_mbox/openoffice-users/201209.mbox/<5042599A.6010405@apache.org>,andrea pescetti
Sun Sep  2 23:40:41 2012,http://mail-archives.apache.org/mod_mbox/openoffice-utenti-it/201209.mbox/<5043D259.3060905@apache.org>,andrea pescetti
Tue Sep  4 15:48:08 2012,http://mail-archives.apache.org/mod_mbox/openoffice-users/201209.mbox/<50460698.4040504@apache.org>,andrea pescetti
Thu Sep  6 21:42:39 2012,http://mail-archives.apache.org/mod_mbox/openoffice-utenti-it/201209.mbox/<5048F3FE.7040403@apache.org>,andrea pescetti
Fri Sep  7 19:46:35 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504A2AB4.1030100@apache.org>,andrea pescetti
Sun Sep  9 15:16:02 2012,http://mail-archives.apache.org/mod_mbox/openoffice-qa/201209.mbox/<504C9692.1060101@apache.org>,andrea pescetti
Sun Sep  9 15:51:45 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504C9569.20607@apache.org>,andrea pescetti
Sun Sep  9 16:59:26 2012,http://mail-archives.apache.org/mod_mbox/openoffice-utenti-it/201209.mbox/<504CAECE.5090905@apache.org>,andrea pescetti
Mon Sep 10 07:44:13 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504D06AB.9040207@apache.org>,andrea pescetti
Mon Sep 10 12:59:41 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504DC0FD.1070102@apache.org>,andrea pescetti
Mon Sep 10 20:03:07 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504E2B5B.4010002@apache.org>,andrea pescetti
Mon Sep 10 20:10:30 2012,http://mail-archives.apache.org/mod_mbox/openoffice-users/201209.mbox/<504E2D16.4030701@apache.org>,andrea pescetti
Tue Sep 11 17:30:27 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504F5913.7090907@apache.org>,andrea pescetti
Tue Sep 11 23:00:17 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504FA661.1040607@apache.org>,andrea pescetti
Tue Sep 11 23:56:25 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504FAAC3.30402@apache.org>,andrea pescetti
Wed Sep 12 00:36:42 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<504FB81B.4070700@apache.org>,andrea pescetti
Wed Sep 12 08:45:22 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<50502F82.5030403@apache.org>,andrea pescetti
Wed Sep 12 23:02:29 2012,http://mail-archives.apache.org/mod_mbox/openoffice-dev/201209.mbox/<5050F865.2050204@apache.org>,andrea pescetti
Fri Sep 14 21:37:42 2012,http://mail-archives.apache.org/mod_mbox/openoffice-l10n/201209.mbox/<50538786.9020601@apache.org>,andrea pescetti
Fri Sep 14 22:37:20 2012,http://mail-archives.apache.org/mod_mbox/openoffice-users/201209.mbox/<50539580.4080904@apache.org>,andrea pescetti
