human_date_time,link,dealised_author_full_name
Mon Oct  1 14:22:58 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<7E787C9E-A72E-4B9D-AE35-F324A4A604EC@pragmaticminds.de>,julian feinauer
Mon Oct  1 14:59:51 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<CAA5E809-B3D2-45D4-ADD7-1858D77BF6A2@pragmaticminds.de>,julian feinauer
Tue Oct  2 07:17:52 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<E8641625-33B6-4B41-BF8C-2492265F37A6@pragmaticminds.de>,julian feinauer
Tue Oct  2 12:40:58 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<0030C45C-A668-407E-BEC7-CFE3C16C9816@pragmaticminds.de>,julian feinauer
Thu Oct  4 06:42:05 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<E6E2106D-C1BA-4801-B7BB-82DAB1557512@pragmaticminds.de>,julian feinauer
Thu Oct  4 07:50:56 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<F48F9E15-7B6A-49C4-BBC5-DC2D6B158AA6@pragmaticminds.de>,julian feinauer
Sat Oct  6 11:10:56 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<AF002C3D-C82E-43FC-A836-0CB689A8F2A8@pragmaticminds.de>,julian feinauer
Sat Oct  6 18:38:44 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<A6227D4B-68DA-4087-A22D-11BE3E27B3C3@pragmaticminds.de>,julian feinauer
Sat Oct  6 19:20:03 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<52846E5D-0700-404B-83B1-D2D2BB62F4A3@pragmaticminds.de>,julian feinauer
Sat Oct  6 19:21:50 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<BE2D7E6A-E2C7-4574-AEE1-EEEE7DF567AD@pragmaticminds.de>,julian feinauer
Sun Oct  7 13:15:41 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<A3B23F5E-118C-4A60-8BA4-1072F1A0C099@pragmaticminds.de>,julian feinauer
Mon Oct  8 11:50:16 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<604AE8BE-D37B-4537-817E-2C0662B32A41@pragmaticminds.de>,julian feinauer
Mon Oct  8 15:50:03 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<86F406F5-CCE8-4B79-828F-0D20FE964112@pragmaticminds.de>,julian feinauer
Mon Oct  8 16:51:45 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<18DE3A90-5CC3-4D28-B3A3-9F2E90FAE2AF@pragmaticminds.de>,julian feinauer
Fri Oct 12 11:10:06 2018,http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/<A6E9B93B-7CB1-44FE-A81D-52A0DE272C53@pragmaticminds.de>,julian feinauer
Fri Oct 19 03:13:29 2018,"http://mail-archives.apache.org/mod_mbox/plc4x-dev/201810.mbox/
 <DB7PR05MB482730F5C1BEDEEF023672FE9DF90@DB7PR05MB4827.eurprd05.prod.outlook.com>",julian feinauer
