human_date_time,link,dealised_author_full_name
Thu Sep  8 14:49:38 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSNP4o7UN7tBkfgMoW4KVPAabD70ne7ONYx1u9kjN-KHDw@mail.gmail.com>,gustavo frederico
Thu Sep  8 14:53:21 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSPKDfOcf121_eaZfA5NQvRknE0DkmND_07MC0Lte125XA@mail.gmail.com>,gustavo frederico
Tue Sep 20 13:15:44 2016,http://mail-archives.apache.org/mod_mbox/predictionio-dev/201609.mbox/<CAGRFSSMqArcJgsqnAv6smgwKqJy+EtFkBq7W6SZhVs+7_DHoSg@mail.gmail.com>,gustavo frederico
Tue Sep 20 13:15:44 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSMqArcJgsqnAv6smgwKqJy+EtFkBq7W6SZhVs+7_DHoSg@mail.gmail.com>,gustavo frederico
Fri Sep 23 14:58:13 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSPkKMC+vphF8YFvROLLpHCJGtTKZKng_H_THKmUqLSnwQ@mail.gmail.com>,gustavo frederico
Fri Sep 23 15:02:19 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSPBnYMG=HJ6Br0ctQaGdwTYfNpJAT+DcXOZDYL3wLABEA@mail.gmail.com>,gustavo frederico
Sun Sep 25 10:47:59 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSMySsWi2Hde9ES_vJOqV_7YG3mHvM894G8PE3u=62p0Vg@mail.gmail.com>,gustavo frederico
Mon Sep 26 08:45:12 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSNmevGb9AEvqVUm53wrCYXZ5E+oz4xDBrQZfFK0T9=Www@mail.gmail.com>,gustavo frederico
Tue Sep 27 10:11:27 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSOiwJjY4PY9-kk78ab+zVAPh_DwJo2=vLsOAr=DdL8bww@mail.gmail.com>,gustavo frederico
Tue Sep 27 11:00:28 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSN-r_Gh-Ea2UrgzC-wdu+wFjb_Gww4b5=eeA4nTkgH-AA@mail.gmail.com>,gustavo frederico
Tue Sep 27 13:09:04 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSMXRVXAkkNE9ez5gO6=GrXXs9OVFngrj9E1g7zxLC8Xew@mail.gmail.com>,gustavo frederico
Fri Sep 30 08:55:37 2016,http://mail-archives.apache.org/mod_mbox/predictionio-user/201609.mbox/<CAGRFSSMH74oTSc-G=DsTiJZv7b9quw+XZRiLv2cmOHgLc64w9g@mail.gmail.com>,gustavo frederico
