human_date_time,link,dealised_author_full_name
Tue Mar 21 02:39:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.74160.1490063981522@Atlassian.JIRA>,kaiyangzhang
Tue Mar 21 02:41:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.74161.1490064101575@Atlassian.JIRA>,kaiyangzhang
Tue Mar 21 03:17:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.74334.1490066261578@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 04:43:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84458.1490157821535@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 04:56:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84482.1490158601806@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 04:56:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84480.1490158601790@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 04:57:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84486.1490158661752@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 04:57:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84484.1490158661736@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 05:04:42 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84497.1490159082055@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 05:06:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84501.1490159201530@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 05:12:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84512.1490159561533@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 05:21:42 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13057763.1490063975000.84537.1490160102600@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 05:31:41 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13058101.1490160688000.84580.1490160701598@Atlassian.JIRA>,kaiyangzhang
Wed Mar 22 12:32:42 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201703.mbox/<JIRA.13058101.1490160688000.87638.1490185962475@Atlassian.JIRA>,kaiyangzhang
