human_date_time,link,dealised_author_full_name
Mon May  1 20:39:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13067822.1493415804000.94742.1493671144156@Atlassian.JIRA>,tsz wo nicholas sze
Tue May  2 00:07:05 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13067865.1493429462000.96631.1493683625986@Atlassian.JIRA>,tsz wo nicholas sze
Wed May  3 01:36:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13060267.1490857199000.110572.1493775364211@Atlassian.JIRA>,tsz wo nicholas sze
Wed May  3 01:36:05 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13060267.1490857199000.110578.1493775365099@Atlassian.JIRA>,tsz wo nicholas sze
Fri May  5 22:13:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13067807.1493412726000.141072.1494022384731@Atlassian.JIRA>,tsz wo nicholas sze
Fri May  5 23:32:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069615.1494027117000.141624.1494027124033@Atlassian.JIRA>,tsz wo nicholas sze
Fri May  5 23:37:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069618.1494027407000.141648.1494027424257@Atlassian.JIRA>,tsz wo nicholas sze
Sat May  6 01:57:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069618.1494027407000.142261.1494035824100@Atlassian.JIRA>,tsz wo nicholas sze
Mon May  8 23:49:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069618.1494027407000.158451.1494287344564@Atlassian.JIRA>,tsz wo nicholas sze
Wed May 10 00:57:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13067807.1493412726000.171392.1494377824246@Atlassian.JIRA>,tsz wo nicholas sze
Wed May 10 20:35:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069618.1494027407000.180425.1494448504230@Atlassian.JIRA>,tsz wo nicholas sze
Wed May 10 20:59:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069618.1494027407000.180711.1494449944376@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 01:11:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069618.1494027407000.193463.1494551464501@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 01:11:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069618.1494027407000.193460.1494551464463@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 01:12:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069615.1494027117000.193476.1494551524068@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 20:58:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13071673.1494622662000.200575.1494622684138@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 21:05:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13071673.1494622662000.200630.1494623104296@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 21:06:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13071673.1494622662000.200631.1494623164062@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 22:44:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13068900.1493840395000.201532.1494629044430@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 22:58:05 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069615.1494027117000.201667.1494629885672@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 23:41:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13068900.1493840395000.201940.1494632464161@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 23:43:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13068900.1493840395000.201954.1494632584417@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 23:43:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13068900.1493840395000.201946.1494632584347@Atlassian.JIRA>,tsz wo nicholas sze
Fri May 12 23:48:05 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069615.1494027117000.202018.1494632885031@Atlassian.JIRA>,tsz wo nicholas sze
Mon May 15 18:34:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069615.1494027117000.213498.1494873244766@Atlassian.JIRA>,tsz wo nicholas sze
Tue May 16 22:44:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069615.1494027117000.225853.1494974644069@Atlassian.JIRA>,tsz wo nicholas sze
Thu May 18 20:50:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13069615.1494027117000.244863.1495140604678@Atlassian.JIRA>,tsz wo nicholas sze
Sat May 27 08:05:04 2017,http://mail-archives.apache.org/mod_mbox/ratis-issues/201705.mbox/<JIRA.13074653.1495661130000.308805.1495872304037@Atlassian.JIRA>,tsz wo nicholas sze
