human_date_time,link,dealised_author_full_name
Thu Oct  6 16:01:03 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<C9F226BD-DEED-4254-8829-33D9F3DDD0BC@nyu.edu>,jong wook kim
Sat Oct  8 03:21:21 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<JIRA.13010682.1475896862000.770238.1475896881455@Atlassian.JIRA>,jong wook kim
Sun Oct  9 18:09:20 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<JIRA.13010682.1475896862000.777438.1476036560704@Atlassian.JIRA>,jong wook kim
Sun Oct  9 18:57:20 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<JIRA.13010682.1475896862000.777543.1476039440461@Atlassian.JIRA>,jong wook kim
Mon Oct 10 16:10:32 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<996109E8-4F32-47EB-B758-6C0FC17608A9@nyu.edu>,jong wook kim
Mon Oct 10 20:02:20 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<JIRA.13010682.1475896862000.786151.1476129740544@Atlassian.JIRA>,jong wook kim
Mon Oct 10 20:46:22 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<JIRA.13010682.1475896862000.786573.1476132382216@Atlassian.JIRA>,jong wook kim
Sat Oct 29 02:27:54 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<BE4CEB25-EFE0-45A6-B816-C14E2D51AA71@nyu.edu>,jong wook kim
Sat Oct 29 21:56:59 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<JIRA.13007816.1474955509000.126734.1477778219030@Atlassian.JIRA>,jong wook kim
Sun Oct 30 02:29:46 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<136032C0-D329-4596-878A-CB3821284769@nyu.edu>,jong wook kim
Sun Oct 30 23:11:59 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<JIRA.13007816.1474955509000.129024.1477869119605@Atlassian.JIRA>,jong wook kim
Mon Oct 31 02:42:21 2016,http://mail-archives.apache.org/mod_mbox/s2graph-dev/201610.mbox/<4D44ED6F-6D34-435F-B2DB-68058E66EBA4@nyu.edu>,jong wook kim
