human_date_time,link,dealised_author_full_name
Mon Dec  2 18:10:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12680100.1384916877185.55293.1386007835650@arcas>,jakob homan
Mon Dec  2 18:52:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12667213.1378422884092.55547.1386010355422@arcas>,jakob homan
Mon Dec  2 19:04:36 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12667213.1378422884092.55619.1386011076305@arcas>,jakob homan
Mon Dec  2 19:06:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12676941.1383249117979.55625.1386011195364@arcas>,jakob homan
Mon Dec  2 20:30:36 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682218.1386016203609.56106.1386016236737@arcas>,jakob homan
Mon Dec  2 20:50:37 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682223.1386017419559.56336.1386017437072@arcas>,jakob homan
Mon Dec  2 21:08:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12680100.1384916877185.56451.1386018515438@arcas>,jakob homan
Mon Dec  2 22:26:37 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12681167.1385423400690.57057.1386023197268@arcas>,jakob homan
Mon Dec  2 22:40:42 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12680100.1384916877185.57380.1386024042510@arcas>,jakob homan
Mon Dec  2 22:40:42 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12680100.1384916877185.57378.1386024042364@arcas>,jakob homan
Tue Dec  3 06:00:39 2013,http://mail-archives.apache.org/mod_mbox/samza-dev/201312.mbox/<20131203060039.12482.44034@reviews.apache.org>,jakob homan
Tue Dec  3 06:37:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12679479.1384546729830.60050.1386052655727@arcas>,jakob homan
Tue Dec  3 10:44:20 2013,http://mail-archives.apache.org/mod_mbox/samza-dev/201312.mbox/<CADiKvVvQ8a8dbWMRwEBsBQeV9V7Mj5+kw3p7uwrE0esxuV1hkQ@mail.gmail.com>,jakob homan
Tue Dec  3 21:40:36 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682522.1386106822120.65646.1386106836381@arcas>,jakob homan
Wed Dec  4 01:30:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682590.1386120603271.67022.1386120635904@arcas>,jakob homan
Wed Dec  4 01:54:41 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682590.1386120603271.67429.1386122081885@arcas>,jakob homan
Wed Dec  4 06:05:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682590.1386120603271.68467.1386137135679@arcas>,jakob homan
Thu Dec  5 02:53:35 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682202.1386011421800.75413.1386212015419@arcas>,jakob homan
Sun Dec  8 23:22:07 2013,http://mail-archives.apache.org/mod_mbox/samza-commits/201312.mbox/<JIRA.12682522.1386106822120.49.1386544927533@arcas>,jakob homan
