human_date_time,link,dealised_author_full_name
Mon Jul  5 15:34:51 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<15845466.205591278358491062.JavaMail.jira@thor>,chris a mattmann
Mon Jul  5 15:34:52 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<7254519.205631278358492476.JavaMail.jira@thor>,chris a mattmann
Mon Jul  5 15:34:52 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<20650073.205611278358492227.JavaMail.jira@thor>,chris a mattmann
Tue Jul  6 00:06:49 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<20227562.209691278389209422.JavaMail.jira@thor>,chris a mattmann
Tue Jul  6 00:06:50 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<22902077.209711278389210623.JavaMail.jira@thor>,chris a mattmann
Tue Jul  6 01:37:49 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<24137410.210871278394669536.JavaMail.jira@thor>,chris a mattmann
Tue Jul  6 01:37:51 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<20103977.210901278394671118.JavaMail.jira@thor>,chris a mattmann
Tue Jul  6 01:56:50 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<30749734.211011278395810042.JavaMail.jira@thor>,chris a mattmann
Tue Jul  6 01:58:50 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<3884719.211041278395930364.JavaMail.jira@thor>,chris a mattmann
Tue Jul  6 02:05:49 2010,http://mail-archives.apache.org/mod_mbox/sis-commits/201007.mbox/<20525138.211061278396349425.JavaMail.jira@thor>,chris a mattmann
