human_date_time,link,dealised_author_full_name
Tue May 19 10:25:54 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WnhQtxZECLBdQiR3Mz03cKM+62A2OsVPGTQD0w0m=5ebLA@mail.gmail.com>,timothy potter
Tue May 19 10:26:58 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WnhxUHqngddPnuDUYY8uQK7R_Hq7Rc+vfhkHT3ZYN4mPLA@mail.gmail.com>,timothy potter
Tue May 19 12:02:40 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WngDLTA785TaONNhCDH90eR_OKzo=FgTTzB2j3LY2OTECw@mail.gmail.com>,timothy potter
Tue May 19 15:23:24 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9Wni5KZ2YYWnEgJhh8wcdV9ASTitvR1c6EywKQv6WQfXwtw@mail.gmail.com>,timothy potter
Tue May 19 15:37:56 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WnhcLM=PUvJYznrMNWH1e6-qHhfAJW=oaaZuBN9jLdzygg@mail.gmail.com>,timothy potter
Tue May 19 17:49:48 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WngEOiDO0WFHuju=3FNhBAbdwKjTC8L3By+3k7kh_ZuTjg@mail.gmail.com>,timothy potter
Wed May 27 07:24:20 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WnhuAfB7ET8Z9QG9PO9QR7driVuAr2BrQzAwrnr8QXUvew@mail.gmail.com>,timothy potter
Wed May 27 09:31:51 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WnjnEDKA74+nEJRrXSvk+EUYiOVNDviqTrryxNFGut616w@mail.gmail.com>,timothy potter
Wed May 27 13:09:09 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WnjMQXmqwGTD+Ja35=C9UqpN-S9Mk7xt-LjFhMbz1E-cWw@mail.gmail.com>,timothy potter
Wed May 27 15:07:18 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WniqjPkvPmuNOhc1g79ca+gg2EpqExPfqfjGh-KOgyQnoA@mail.gmail.com>,timothy potter
Thu May 28 09:23:06 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9Wng2YA2tY_55_XSz-9FDMt4gvBDd+0FYH3who7Tta6gNtA@mail.gmail.com>,timothy potter
Thu May 28 09:33:38 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WnhnLShSivH43rpF1K5oiBUMayoVdxiSMc8cjTd35P9Z-Q@mail.gmail.com>,timothy potter
Thu May 28 10:28:32 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<CAJt9WniBreLhiN8d+c8=dSATfuAh5=JCnZTZHjXQTtC2=nyR1g@mail.gmail.com>,timothy potter
Thu May 28 16:37:17 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<JIRA.12833488.1432831022000.53947.1432831037615@Atlassian.JIRA>,timothy potter
Thu May 28 16:40:17 2015,http://mail-archives.apache.org/mod_mbox/slider-dev/201505.mbox/<JIRA.12833488.1432831022000.53956.1432831217131@Atlassian.JIRA>,timothy potter
