human_date_time,link,dealised_author_full_name
Sat Dec  3 19:53:59 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.12708892.1397678774000.432247.1480794839650@Atlassian.JIRA>,asf github bot
Mon Dec 12 03:36:58 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13027329.1481513156000.495161.1481513818449@Atlassian.JIRA>,asf github bot
Mon Dec 12 03:37:58 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13027330.1481513191000.495166.1481513878382@Atlassian.JIRA>,asf github bot
Tue Dec 13 19:01:00 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13027329.1481513156000.511456.1481655660547@Atlassian.JIRA>,asf github bot
Tue Dec 13 19:01:00 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13027330.1481513191000.511458.1481655660561@Atlassian.JIRA>,asf github bot
Tue Dec 13 20:37:59 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13027496.1481560254000.512601.1481661479812@Atlassian.JIRA>,asf github bot
Tue Dec 13 21:32:59 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13027496.1481560254000.513012.1481664779821@Atlassian.JIRA>,asf github bot
Tue Dec 13 21:33:58 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13027496.1481560254000.513023.1481664838491@Atlassian.JIRA>,asf github bot
Tue Dec 13 21:35:59 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13025349.1480790582000.513039.1481664959910@Atlassian.JIRA>,asf github bot
Thu Dec 15 17:24:59 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13028436.1481821264000.531058.1481822699035@Atlassian.JIRA>,asf github bot
Thu Dec 15 20:02:59 2016,http://mail-archives.apache.org/mod_mbox/streams-commits/201612.mbox/<JIRA.13028436.1481821264000.532660.1481832179053@Atlassian.JIRA>,asf github bot
