human_date_time,link,dealised_author_full_name
Mon Oct  3 17:43:20 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008648.1475172726000.723020.1475516600636@Atlassian.JIRA>,deron eriksson
Mon Oct  3 18:01:20 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008648.1475172726000.723246.1475517680726@Atlassian.JIRA>,deron eriksson
Thu Oct  6 22:56:20 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008684.1475177183000.758706.1475794580784@Atlassian.JIRA>,deron eriksson
Thu Oct  6 22:56:21 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008684.1475177183000.758707.1475794581005@Atlassian.JIRA>,deron eriksson
Fri Oct  7 00:11:20 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008418.1475110941000.759293.1475799080518@Atlassian.JIRA>,deron eriksson
Fri Oct  7 17:07:20 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008418.1475110941000.765313.1475860040635@Atlassian.JIRA>,deron eriksson
Fri Oct  7 20:59:20 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008418.1475110941000.767704.1475873960501@Atlassian.JIRA>,deron eriksson
Fri Oct  7 21:00:22 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13010515.1475859477000.767707.1475874022670@Atlassian.JIRA>,deron eriksson
Fri Oct  7 21:00:22 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13010515.1475859477000.767709.1475874022685@Atlassian.JIRA>,deron eriksson
Wed Oct 19 10:50:27 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR8j4Nah6gdskEvCQvrRQJ5WbWvOLpxbd7ekV9cyGC=jQg@mail.gmail.com>,deron eriksson
Wed Oct 19 11:30:45 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR8pCDZM+zt3rR6uS+YYZF3S9peki8OVPa7ELyXGN9qb4w@mail.gmail.com>,deron eriksson
Wed Oct 19 21:08:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008682.1475177053000.32988.1476911338371@Atlassian.JIRA>,deron eriksson
Wed Oct 19 21:40:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13008682.1475177053000.33323.1476913258468@Atlassian.JIRA>,deron eriksson
Wed Oct 19 21:43:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13013670.1476913393000.33357.1476913438352@Atlassian.JIRA>,deron eriksson
Thu Oct 20 10:52:12 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR9aHx6uyjXGo8aJTQr4F57BKPf91N+iXCoVMiRw-PvuRQ@mail.gmail.com>,deron eriksson
Thu Oct 20 23:28:59 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13013670.1476913393000.46333.1477006139084@Atlassian.JIRA>,deron eriksson
Thu Oct 20 23:28:59 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13013670.1476913393000.46332.1477006139075@Atlassian.JIRA>,deron eriksson
Fri Oct 21 00:05:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.12948298.1457503866000.46541.1477008358358@Atlassian.JIRA>,deron eriksson
Fri Oct 21 00:05:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.12948298.1457503866000.46544.1477008358381@Atlassian.JIRA>,deron eriksson
Fri Oct 21 12:22:30 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR8HLW-tTaYwcT9JcqUqbXw3-MFsX0=uHb4ZQRCTqEKqtg@mail.gmail.com>,deron eriksson
Fri Oct 21 12:51:53 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR-NXH0VzDrrQgYWNcLPU=Y5u+XmnZ+FvFCF79ZUL00Uwg@mail.gmail.com>,deron eriksson
Fri Oct 21 12:57:07 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR-M9w44rvvgfuyQ_-BUjXe_75C-6Tr__9x9ASBqZvRF_A@mail.gmail.com>,deron eriksson
Fri Oct 21 14:25:22 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR9DVbSBTc8tVxTYkKwVWXjnz5pPXxWgvM5kyUs6WxWr1g@mail.gmail.com>,deron eriksson
Mon Oct 24 11:29:25 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR9=+vWqEZjGWW+RHfLKeu9fiLTffaiyLRY81XMqhwpfvQ@mail.gmail.com>,deron eriksson
Tue Oct 25 02:48:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13014967.1477363718000.74072.1477363738865@Atlassian.JIRA>,deron eriksson
Tue Oct 25 14:24:14 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR9ZOXCx9H4ZrXoP3k8Rsa6wDjivXGh_eVKzbnqn8s7+LQ@mail.gmail.com>,deron eriksson
Tue Oct 25 15:49:00 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR-kxGkxPd6Zgf8FCNd7eos4MJXGZnJYHs91K2NJMZcW-A@mail.gmail.com>,deron eriksson
Tue Oct 25 17:40:59 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR9g6WGZt_t1HqsWVbCvBbj8Uwwwoxnio2iv4VT5Hx6eKw@mail.gmail.com>,deron eriksson
Tue Oct 25 21:53:50 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR9Lxy6ufG55XejNL1NaYi5qJ9G3NhRZNdp0cGzXY8Anqg@mail.gmail.com>,deron eriksson
Thu Oct 27 18:32:59 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13015580.1477515103000.104536.1477593179355@Atlassian.JIRA>,deron eriksson
Fri Oct 28 17:15:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13015580.1477515103000.119442.1477674958896@Atlassian.JIRA>,deron eriksson
Fri Oct 28 17:15:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13015580.1477515103000.119426.1477674958780@Atlassian.JIRA>,deron eriksson
Fri Oct 28 17:41:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016219.1477676513000.119730.1477676518996@Atlassian.JIRA>,deron eriksson
Fri Oct 28 22:59:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016219.1477676513000.123065.1477695598696@Atlassian.JIRA>,deron eriksson
Fri Oct 28 22:59:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016219.1477676513000.123051.1477695598471@Atlassian.JIRA>,deron eriksson
Fri Oct 28 23:44:59 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016306.1477698290000.123481.1477698299640@Atlassian.JIRA>,deron eriksson
Mon Oct 31 10:14:44 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR-=JxeRuONLa71JvbLCRy8DrhSAQSED7416E01KkqAexg@mail.gmail.com>,deron eriksson
Mon Oct 31 12:17:50 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR9nUihG7e2avvQog=TdrDx8eqOQbTAHRAaGFiUzG8v7Og@mail.gmail.com>,deron eriksson
Mon Oct 31 12:26:03 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR8pQeb=wRigRpcc1EO1MqmFncFOdL=gNQQAhaU2hcsZ6A@mail.gmail.com>,deron eriksson
Mon Oct 31 13:05:35 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR8-xK1FCaxOnCEYFZpmMRCZa+sFrctTqJpPPMU+EuSaKA@mail.gmail.com>,deron eriksson
Mon Oct 31 13:07:26 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR_w8H6WpxUAaomvZy-qWZzupcGeRjTyijp3=iKJJw+d-A@mail.gmail.com>,deron eriksson
Mon Oct 31 14:11:53 2016,http://mail-archives.apache.org/mod_mbox/systemml-dev/201610.mbox/<CAO1aQR-3UbEJB3giA_iLMLYwi7uiXaPAnRCSPgRQu2bJ3kfQ0w@mail.gmail.com>,deron eriksson
Mon Oct 31 18:08:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016219.1477676513000.135057.1477937338474@Atlassian.JIRA>,deron eriksson
Mon Oct 31 18:10:00 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016219.1477676513000.135070.1477937400014@Atlassian.JIRA>,deron eriksson
Mon Oct 31 22:32:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016306.1477698290000.138251.1477953178339@Atlassian.JIRA>,deron eriksson
Mon Oct 31 22:32:58 2016,http://mail-archives.apache.org/mod_mbox/systemml-issues/201610.mbox/<JIRA.13016306.1477698290000.138250.1477953178333@Atlassian.JIRA>,deron eriksson
