human_date_time,link,dealised_author_full_name
Mon Aug  1 10:26:55 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe1p_jVuS040f62r760sWX5zRsfjK0BwLSGOhua2FFCrSw@mail.gmail.com>,werner keil
Mon Aug  1 10:31:05 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe1D4zNWXT6kvWAayML1CJ7VUeab6kopwxXbBUamrji+-g@mail.gmail.com>,werner keil
Mon Aug  1 11:46:40 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe3EDpJYsqV4Op=nkWWsGz5gJJN72Qif2_cxcVzQbApjYg@mail.gmail.com>,werner keil
Mon Aug  1 12:33:00 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe3Sxj7AmPULV0QyrN9Om88tmDop+egD_Dc3Uainuzdw5A@mail.gmail.com>,werner keil
Mon Aug  1 13:03:20 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe2kr3agA439RCyvHa4FRibu3TbWAyWFQ1u640-V9YQnxQ@mail.gmail.com>,werner keil
Mon Aug  1 13:17:03 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe2QHc0XjJ3U+QLzScBHzmqdfDQHUfbaUnOY62sREC-kKg@mail.gmail.com>,werner keil
Wed Aug  3 10:59:07 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe0J5eoRet-x4qX8w6CU4gWhYVeWpHEGxqn_Av_RwXpvCQ@mail.gmail.com>,werner keil
Wed Aug  3 12:53:22 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe3QLupNOtFcdX62s8PeinRTVB13_FRJmvO=VQt0kSGnZQ@mail.gmail.com>,werner keil
Thu Aug  4 11:54:15 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe0OT0-8rSDPKPc8JQfDHuLOQSvNVZrajYnd9k9i49DrPA@mail.gmail.com>,werner keil
Sun Aug  7 16:56:37 2016,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201608.mbox/<CAAGawe0j_HeARz9Lvu2UqfWJtsBAbSPy1vg62Dm-jwQShCMiAw@mail.gmail.com>,werner keil
