human_date_time,link,dealised_author_full_name
Fri Sep  1 13:18:42 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<1f2d1d58-f6cf-c4ba-21d8-7422f4c81909@swe-blog.net>,oliver b fischer
Fri Sep  1 17:18:40 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<0eee0353-3ab9-e04a-8b93-e8aea1a23b06@swe-blog.net>,oliver b fischer
Mon Sep  4 16:29:49 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<875e9279-5193-b598-96dd-5cad20063cf8@swe-blog.net>,oliver b fischer
Sat Sep  9 13:39:57 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<4f3e7630-2553-3401-25a8-f9c0bc7033bf@swe-blog.net>,oliver b fischer
Sun Sep 10 02:16:12 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<CC8EB7BF-CDAA-4756-9CFD-A818C873DB2D@swe-blog.net>,oliver b fischer
Mon Sep 11 20:04:08 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<9dd73e3f-d9eb-810d-8cb6-55cae79c9e65@swe-blog.net>,oliver b fischer
Tue Sep 12 07:26:28 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<230f11cb-cb60-56f7-5595-0e3c2485333d@swe-blog.net>,oliver b fischer
Wed Sep 13 22:35:00 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<JIRA.13102088.1505342095000.106573.1505342100545@Atlassian.JIRA>,oliver b fischer
Wed Sep 13 22:37:00 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<JIRA.13102089.1505342177000.106580.1505342220061@Atlassian.JIRA>,oliver b fischer
Wed Sep 13 22:38:00 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<JIRA.13102090.1505342268000.106582.1505342280069@Atlassian.JIRA>,oliver b fischer
Wed Sep 13 22:39:00 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<JIRA.13102089.1505342177000.106584.1505342340226@Atlassian.JIRA>,oliver b fischer
Wed Sep 13 22:39:00 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<JIRA.13102089.1505342177000.106591.1505342340304@Atlassian.JIRA>,oliver b fischer
Wed Sep 13 22:40:00 2017,http://mail-archives.apache.org/mod_mbox/tamaya-dev/201709.mbox/<JIRA.13102091.1505342348000.106599.1505342400371@Atlassian.JIRA>,oliver b fischer
