human_date_time,link,dealised_author_full_name
Tue Jul 11 11:27:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.216816.1499772420144@Atlassian.JIRA>,asf github bot
Tue Jul 11 15:54:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.218716.1499788440072@Atlassian.JIRA>,asf github bot
Tue Jul 11 18:35:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.220277.1499798100360@Atlassian.JIRA>,asf github bot
Tue Jul 11 20:18:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.221312.1499804280196@Atlassian.JIRA>,asf github bot
Tue Jul 11 20:18:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.221313.1499804280231@Atlassian.JIRA>,asf github bot
Tue Jul 11 20:18:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.221316.1499804280247@Atlassian.JIRA>,asf github bot
Wed Jul 12 13:36:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.228149.1499866560201@Atlassian.JIRA>,asf github bot
Wed Jul 12 13:37:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.228159.1499866620094@Atlassian.JIRA>,asf github bot
Wed Jul 12 13:38:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.228163.1499866680084@Atlassian.JIRA>,asf github bot
Wed Jul 12 14:27:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.228644.1499869620125@Atlassian.JIRA>,asf github bot
Wed Jul 12 23:51:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.234345.1499903460281@Atlassian.JIRA>,asf github bot
Sat Jul 22 10:14:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.308285.1500718440055@Atlassian.JIRA>,asf github bot
Sat Jul 22 10:15:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.308291.1500718500165@Atlassian.JIRA>,asf github bot
Sat Jul 22 10:16:00 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.308295.1500718560052@Atlassian.JIRA>,asf github bot
Sat Jul 22 10:18:01 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.308298.1500718681803@Atlassian.JIRA>,asf github bot
Sat Jul 22 15:11:02 2017,http://mail-archives.apache.org/mod_mbox/tephra-dev/201707.mbox/<JIRA.13082349.1498360670000.309123.1500736262921@Atlassian.JIRA>,asf github bot
