human_date_time,link,dealised_author_full_name
Wed Apr  1 14:51:13 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<699610986.1238622673194.JavaMail.jira@brutus>,michael greene
Fri Apr  3 09:48:13 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<1671456635.1238777293504.JavaMail.jira@brutus>,michael greene
Fri Apr  3 11:38:33 2009,http://mail-archives.apache.org/mod_mbox/thrift-user/200904.mbox/<f4d6a21a0904030938r5185e823vc3a26e59fb473d3b@mail.gmail.com>,michael greene
Fri Apr  3 17:33:13 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<1713325840.1238805193060.JavaMail.jira@brutus>,michael greene
Tue Apr  7 11:49:37 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<f4d6a21a0904070949m4281890ajcfffefc4fd83f9d0@mail.gmail.com>,michael greene
Tue Apr  7 15:14:13 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<1120286655.1239142453436.JavaMail.jira@brutus>,michael greene
Thu Apr  9 09:17:13 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<2106363551.1239293833463.JavaMail.jira@brutus>,michael greene
Thu Apr  9 09:25:12 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<1226119414.1239294312934.JavaMail.jira@brutus>,michael greene
Sun Apr 26 21:01:30 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<38408075.1240804890304.JavaMail.jira@brutus>,michael greene
Mon Apr 27 10:16:30 2009,http://mail-archives.apache.org/mod_mbox/thrift-dev/200904.mbox/<926623214.1240852590318.JavaMail.jira@brutus>,michael greene
