human_date_time,link,dealised_author_full_name
Tue Jul  1 17:48:45 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<116755638.1214959725178.JavaMail.jira@brutus>,david reiss
Wed Jul  2 11:41:45 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<944486108.1215024105154.JavaMail.jira@brutus>,david reiss
Thu Jul  3 11:09:45 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<154041643.1215108585014.JavaMail.jira@brutus>,david reiss
Thu Jul  3 12:53:45 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<830664331.1215114825023.JavaMail.jira@brutus>,david reiss
Thu Jul  3 13:03:45 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<346952691.1215115425132.JavaMail.jira@brutus>,david reiss
Thu Jul  3 13:29:45 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1415929868.1215116985155.JavaMail.jira@brutus>,david reiss
Tue Jul  8 11:55:21 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<4873B819.50507@facebook.com>,david reiss
Thu Jul 10 17:03:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1122359035.1215734611685.JavaMail.jira@brutus>,david reiss
Thu Jul 10 17:11:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<3598308.1215735091910.JavaMail.jira@brutus>,david reiss
Thu Jul 10 17:11:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1269995793.1215735091869.JavaMail.jira@brutus>,david reiss
Thu Jul 10 17:47:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1345083222.1215737251611.JavaMail.jira@brutus>,david reiss
Thu Jul 10 18:07:08 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<4876B23C.3070000@facebook.com>,david reiss
Thu Jul 10 18:43:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1267980550.1215740611701.JavaMail.jira@brutus>,david reiss
Thu Jul 10 18:47:35 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<4876BBB7.5050101@facebook.com>,david reiss
Fri Jul 11 00:09:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<308849000.1215760171865.JavaMail.jira@brutus>,david reiss
Fri Jul 11 11:28:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1784087165.1215800911684.JavaMail.jira@brutus>,david reiss
Fri Jul 11 12:16:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1436140969.1215803791657.JavaMail.jira@brutus>,david reiss
Fri Jul 11 21:54:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1536668115.1215838471769.JavaMail.jira@brutus>,david reiss
Fri Jul 11 21:56:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<711024748.1215838591699.JavaMail.jira@brutus>,david reiss
Sat Jul 12 15:01:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1632533779.1215900091664.JavaMail.jira@brutus>,david reiss
Sun Jul 13 11:37:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1052687380.1215974251703.JavaMail.jira@brutus>,david reiss
Sun Jul 13 15:19:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1735910416.1215987571638.JavaMail.jira@brutus>,david reiss
Sun Jul 13 16:35:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<520553963.1215992131700.JavaMail.jira@brutus>,david reiss
Mon Jul 14 11:36:31 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1615273505.1216060591718.JavaMail.jira@brutus>,david reiss
Mon Jul 14 12:36:32 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<1365420925.1216064192234.JavaMail.jira@brutus>,david reiss
Mon Jul 14 17:41:49 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<487BF24D.90308@facebook.com>,david reiss
Mon Jul 14 17:59:32 2008,http://mail-archives.apache.org/mod_mbox/thrift-dev/200807.mbox/<168729788.1216083572157.JavaMail.jira@brutus>,david reiss
