human_date_time,link,dealised_author_full_name
Wed Jun  7 10:52:13 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-users/201706.mbox/<5898e41a-faf9-d58c-1541-0912b2bc47f2@apache.org>,hank beatty
Wed Jun  7 14:44:43 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-dev/201706.mbox/<4684e19a-bc8b-eab0-94d4-527e6d8353e5@apache.org>,hank beatty
Thu Jun  8 11:18:38 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-dev/201706.mbox/<d9a49915-5c4a-523f-deb8-685e2d3788ce@apache.org>,hank beatty
Thu Jun  8 12:39:17 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-dev/201706.mbox/<da071956-5198-c508-16c1-8deaffb09d49@apache.org>,hank beatty
Mon Jun 12 17:56:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079271.1497290131000.3012.1497290160240@Atlassian.JIRA>,hank beatty
Mon Jun 12 17:58:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079271.1497290131000.3030.1497290280141@Atlassian.JIRA>,hank beatty
Mon Jun 12 18:09:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079275.1497290888000.3131.1497290940372@Atlassian.JIRA>,hank beatty
Mon Jun 12 18:12:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079277.1497291082000.3171.1497291120398@Atlassian.JIRA>,hank beatty
Mon Jun 12 19:29:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<git-pr-669-incubator-trafficcontrol@git.apache.org>,hank beatty
Tue Jun 13 18:30:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079275.1497290888000.11284.1497378600537@Atlassian.JIRA>,hank beatty
Tue Jun 13 18:44:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079275.1497290888000.11413.1497379440081@Atlassian.JIRA>,hank beatty
Tue Jun 13 18:44:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079275.1497290888000.11416.1497379440094@Atlassian.JIRA>,hank beatty
Thu Jun 15 11:16:27 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-dev/201706.mbox/<e88bef5e-5cb2-9268-05c6-f8d481d256ef@gmail.com>,hank beatty
Thu Jun 15 12:11:45 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-dev/201706.mbox/<c16c158e-ae45-081c-1a57-e438d3be7db0@apache.org>,hank beatty
Thu Jun 15 14:06:53 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<git-pr-680-incubator-trafficcontrol@git.apache.org>,hank beatty
Thu Jun 15 15:49:00 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<JIRA.13079275.1497290888000.25538.1497541740064@Atlassian.JIRA>,hank beatty
Fri Jun 16 19:16:27 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<20170616191627.BE77FDFB92@git1-us-west.apache.org>,hank beatty
Fri Jun 16 19:16:28 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-issues/201706.mbox/<20170616191628.C0EABDFB92@git1-us-west.apache.org>,hank beatty
