human_date_time,link,dealised_author_full_name
Thu Jul  6 13:04:11 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-dev/201707.mbox/<CABjXaGt=f1xKriM0wUOEXYqysOo_++4NRNpDqB=TJh3mG6ak1A@mail.gmail.com>,jeff elsloo
Fri Jul  7 14:58:27 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-users/201707.mbox/<CABjXaGvqoh2z3jimtq5QzT1bO=+nQU99ak13XrV9Vr+4Yd42jQ@mail.gmail.com>,jeff elsloo
Fri Jul  7 14:58:27 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-dev/201707.mbox/<CABjXaGvqoh2z3jimtq5QzT1bO=+nQU99ak13XrV9Vr+4Yd42jQ@mail.gmail.com>,jeff elsloo
Fri Jul  7 19:40:41 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<6acd9117cd3145fba4e7d7d1cfcb9f7d@git.apache.org>,jeff elsloo
Fri Jul  7 19:40:42 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<b7ab455820e84824ad6d932b76173924@git.apache.org>,jeff elsloo
Fri Jul  7 19:40:43 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<be6327f278874bbf83a4bbaa4e72b806@git.apache.org>,jeff elsloo
Mon Jul 10 16:30:07 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<2982463ae4d84f57b895bab5f983aac6@git.apache.org>,jeff elsloo
Tue Jul 11 17:07:29 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<cb106e8fb8ba48a78f2a64204c24c99c@git.apache.org>,jeff elsloo
Tue Jul 11 17:07:30 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<737bdb0809ae4760a81c80969a6e0e1e@git.apache.org>,jeff elsloo
Tue Jul 11 17:20:39 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<8e696cce6a8a4b55998910ce778c92da@git.apache.org>,jeff elsloo
Tue Jul 11 17:20:40 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<39633c5720a04223a0bf3385dc62920b@git.apache.org>,jeff elsloo
Tue Jul 11 17:20:41 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<7af03d3c3d284f5e8174af1e60503fe5@git.apache.org>,jeff elsloo
Tue Jul 11 17:21:43 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<6801ea94f6954d12aca68c1195c45b68@git.apache.org>,jeff elsloo
Tue Jul 11 17:21:44 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<84f58dc919854d60a59dc0a65c56a0c3@git.apache.org>,jeff elsloo
Tue Jul 11 17:21:45 2017,http://mail-archives.apache.org/mod_mbox/trafficcontrol-commits/201707.mbox/<016afef66a3a4449b1a10d3901582391@git.apache.org>,jeff elsloo
