human_date_time,link,dealised_author_full_name
Thu Aug  4 20:13:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12995022.1470341550000.228267.1470341600504@Atlassian.JIRA>,amanda moran
Fri Aug  5 19:42:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12995325.1470425761000.237724.1470426140664@Atlassian.JIRA>,amanda moran
Fri Aug 12 09:52:48 2016,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201608.mbox/<CABYEoojbekt+2qP1gkEYnOdEB42de1kCFSHfLuhLiTR-gnrSJg@mail.gmail.com>,amanda moran
Fri Aug 12 12:07:46 2016,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201608.mbox/<CABYEoog=Tgc3zPGkyqR373bE=G3GbTaesbGLYWdrb_B=e4jSBA@mail.gmail.com>,amanda moran
Mon Aug 15 09:21:26 2016,http://mail-archives.apache.org/mod_mbox/trafodion-user/201608.mbox/<CABYEooiNAo6T2_kaQ6-JhfKs1HOkbgJj==DT8tssz=WtGzsFaA@mail.gmail.com>,amanda moran
Mon Aug 15 16:54:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12852375.1438806877000.306672.1471280060777@Atlassian.JIRA>,amanda moran
Thu Aug 18 18:53:21 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12998283.1471546366000.348021.1471546401807@Atlassian.JIRA>,amanda moran
Thu Aug 18 20:15:21 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12998283.1471546366000.348485.1471551321165@Atlassian.JIRA>,amanda moran
Fri Aug 19 19:06:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12998283.1471546366000.357682.1471633580528@Atlassian.JIRA>,amanda moran
Tue Aug 23 12:35:09 2016,http://mail-archives.apache.org/mod_mbox/trafodion-user/201608.mbox/<CABYEoog+MVfeyjQ8VHbG_mQPh7OYJD5buQ04gTK1Bxf63rsERw@mail.gmail.com>,amanda moran
Tue Aug 23 15:05:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201608.mbox/<CABYEoogxtd4c++MiZr7d91cHzNOTHUM7q662+pBvDh+3+hSRag@mail.gmail.com>,amanda moran
Tue Aug 23 19:40:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12999221.1471959556000.387421.1471981220439@Atlassian.JIRA>,amanda moran
Tue Aug 23 21:21:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12847875.1437589134000.388515.1471987280768@Atlassian.JIRA>,amanda moran
Tue Aug 23 21:22:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12953387.1458852852000.388547.1471987340768@Atlassian.JIRA>,amanda moran
Tue Aug 23 21:22:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12860448.1440803923000.388537.1471987340694@Atlassian.JIRA>,amanda moran
Tue Aug 23 21:23:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12991612.1469134645000.388554.1471987400448@Atlassian.JIRA>,amanda moran
Tue Aug 23 21:24:21 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12908656.1446056976000.388559.1471987461621@Atlassian.JIRA>,amanda moran
Tue Aug 23 21:24:21 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12961861.1461352470000.388556.1471987461598@Atlassian.JIRA>,amanda moran
Tue Aug 23 22:14:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.12953381.1458852610000.389358.1471990460687@Atlassian.JIRA>,amanda moran
Wed Aug 24 10:56:24 2016,http://mail-archives.apache.org/mod_mbox/trafodion-user/201608.mbox/<CABYEoohNZoM+PO-TeAxTYX-eX5q6nPz6ci145_uONPFT-KX1SA@mail.gmail.com>,amanda moran
Thu Aug 25 19:19:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.13000137.1472152724000.412996.1472152760949@Atlassian.JIRA>,amanda moran
Thu Aug 25 19:21:21 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.13000139.1472152869000.413000.1472152881889@Atlassian.JIRA>,amanda moran
Fri Aug 26 17:58:20 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.13000463.1472234281000.422526.1472234300713@Atlassian.JIRA>,amanda moran
Fri Aug 26 22:57:22 2016,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201608.mbox/<JIRA.13000463.1472234281000.424983.1472252242155@Atlassian.JIRA>,amanda moran
