human_date_time,link,dealised_author_full_name
Wed Aug  5 00:45:04 2015,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201508.mbox/<JIRA.12851550.1438735466000.372816.1438735504518@Atlassian.JIRA>,steve varnau
Wed Aug  5 17:51:17 2015,http://mail-archives.apache.org/mod_mbox/trafodion-codereview/201508.mbox/<git-pr-45-incubator-trafodion@git.apache.org>,steve varnau
Thu Aug  6 16:55:05 2015,http://mail-archives.apache.org/mod_mbox/trafodion-issues/201508.mbox/<JIRA.12851550.1438735466000.391181.1438880105823@Atlassian.JIRA>,steve varnau
Mon Aug 10 09:48:24 2015,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201508.mbox/<bad567a6cd2b7fcebf38b5c20f8925f3@mail.gmail.com>,steve varnau
Mon Aug 10 14:27:44 2015,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201508.mbox/<b1087da32207c9f7f2095b155dc88c9f@mail.gmail.com>,steve varnau
Sat Aug 15 09:15:25 2015,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201508.mbox/<8846b287556bb94b2476e6c0867147c7@mail.gmail.com>,steve varnau
Sat Aug 15 18:15:01 2015,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201508.mbox/<31ecc59749b9ffaf141820d9e7eb927c@mail.gmail.com>,steve varnau
Mon Aug 17 08:42:26 2015,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201508.mbox/<25ff263d8fd32cb0c7a8cd181727b264@mail.gmail.com>,steve varnau
Fri Aug 28 10:40:21 2015,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201508.mbox/<da1e82262c03065f2c31b979ef05f10b@mail.gmail.com>,steve varnau
Fri Aug 28 10:45:32 2015,http://mail-archives.apache.org/mod_mbox/trafodion-dev/201508.mbox/<6e82c7259eff692eebaee27669e96dc1@mail.gmail.com>,steve varnau
