human_date_time,link,dealised_author_full_name
Tue Oct  3 03:49:21 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<6092352.1159872561777.JavaMail.root@brutus>,rick rineholt
Tue Oct  3 06:37:19 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<31136881.1159882639586.JavaMail.root@brutus>,rick rineholt
Tue Oct  3 09:12:19 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<5572552.1159891939736.JavaMail.root@brutus>,rick rineholt
Tue Oct  3 09:12:21 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<7918718.1159891941097.JavaMail.root@brutus>,rick rineholt
Wed Oct  4 04:37:25 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<19993300.1159961845704.JavaMail.root@brutus>,rick rineholt
Wed Oct  4 06:38:23 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<7960642.1159969103083.JavaMail.root@brutus>,rick rineholt
Fri Oct  6 07:55:20 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<9046667.1160146520742.JavaMail.root@brutus>,rick rineholt
Fri Oct  6 07:55:21 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<8932002.1160146521916.JavaMail.root@brutus>,rick rineholt
Fri Oct  6 07:57:20 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<4214029.1160146640614.JavaMail.root@brutus>,rick rineholt
Tue Oct 10 09:00:21 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<9565284.1160496021922.JavaMail.root@brutus>,rick rineholt
Tue Oct 10 09:07:21 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<9984558.1160496441710.JavaMail.root@brutus>,rick rineholt
Tue Oct 10 09:07:24 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<26599642.1160496444856.JavaMail.root@brutus>,rick rineholt
Tue Oct 10 09:07:27 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<29838273.1160496447929.JavaMail.root@brutus>,rick rineholt
Tue Oct 10 09:09:20 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<4227264.1160496560716.JavaMail.root@brutus>,rick rineholt
Tue Oct 10 09:09:21 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<22792032.1160496561882.JavaMail.root@brutus>,rick rineholt
Thu Oct 12 06:41:36 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<30672995.1160660496061.JavaMail.jira@brutus>,rick rineholt
Thu Oct 12 06:43:36 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<21112673.1160660616090.JavaMail.jira@brutus>,rick rineholt
Wed Oct 18 06:20:37 2006,http://mail-archives.apache.org/mod_mbox/tuscany-dev/200610.mbox/<26009089.1161177637646.JavaMail.jira@brutus>,rick rineholt
