human_date_time,link,dealised_author_full_name
Sat May  2 07:41:00 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<49FBDCEC.3040904@gmx.de>,thilo goetz
Thu May  7 08:57:39 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<4A02DAC3.10001@gmx.de>,thilo goetz
Thu May  7 11:09:54 2009,http://mail-archives.apache.org/mod_mbox/uima-user/200905.mbox/<4A02F9C2.7050002@gmx.de>,thilo goetz
Thu May  7 11:36:47 2009,http://mail-archives.apache.org/mod_mbox/uima-user/200905.mbox/<4A03000F.1050008@gmx.de>,thilo goetz
Tue May 12 11:56:30 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<4A099C2E.9080502@gmx.de>,thilo goetz
Tue May 12 12:02:12 2009,http://mail-archives.apache.org/mod_mbox/uima-user/200905.mbox/<4A099D84.9090105@gmx.de>,thilo goetz
Tue May 12 14:38:12 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<4A09C214.1030800@gmx.de>,thilo goetz
Tue May 12 16:48:16 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<4A09E090.2090608@gmx.de>,thilo goetz
Tue May 12 17:01:38 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<4A09E3B2.4020301@gmx.de>,thilo goetz
Wed May 13 10:21:10 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<4A0AD756.5070704@gmx.de>,thilo goetz
Thu May 14 09:29:50 2009,http://mail-archives.apache.org/mod_mbox/uima-user/200905.mbox/<4A0C1CCE.3070403@gmx.de>,thilo goetz
Thu May 14 10:03:36 2009,http://mail-archives.apache.org/mod_mbox/uima-dev/200905.mbox/<4A0C24B8.7080904@gmx.de>,thilo goetz
Thu May 14 10:30:53 2009,http://mail-archives.apache.org/mod_mbox/uima-user/200905.mbox/<4A0C2B1D.9010701@gmx.de>,thilo goetz
Thu May 14 11:56:37 2009,http://mail-archives.apache.org/mod_mbox/uima-user/200905.mbox/<4A0C3F35.60504@gmx.de>,thilo goetz
