human_date_time,link,dealised_author_full_name
Tue Dec 22 00:26:35 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<git-pr-561-incubator-zeppelin@git.apache.org>,sriramkrishnan
Tue Dec 22 23:58:08 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151222235808.3945DE012C@git1-us-west.apache.org>,sriramkrishnan
Fri Dec 25 07:12:28 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151225071228.08F4BDFCC9@git1-us-west.apache.org>,sriramkrishnan
Fri Dec 25 22:13:14 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151225221314.5A0C6E00A0@git1-us-west.apache.org>,sriramkrishnan
Mon Dec 28 09:01:30 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151228090130.8ACE9DFB8E@git1-us-west.apache.org>,sriramkrishnan
Mon Dec 28 18:19:01 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151228181901.51A3CE045B@git1-us-west.apache.org>,sriramkrishnan
Wed Dec 30 04:45:05 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151230044505.39269E0A1F@git1-us-west.apache.org>,sriramkrishnan
Wed Dec 30 05:03:49 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151230050349.9FFCDE04D7@git1-us-west.apache.org>,sriramkrishnan
Wed Dec 30 23:52:44 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151230235244.43A9CE01F5@git1-us-west.apache.org>,sriramkrishnan
Thu Dec 31 06:27:56 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151231062756.13E9CE0104@git1-us-west.apache.org>,sriramkrishnan
Thu Dec 31 08:54:44 2015,http://mail-archives.apache.org/mod_mbox/zeppelin-dev/201512.mbox/<20151231085444.A970BE000F@git1-us-west.apache.org>,sriramkrishnan
