human_date_time,link,dealised_author_full_name
Wed Mar  1 19:31:38 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<886d1173929b44759e7f7bdbfa4f1fb4@git.apache.org>,edward capriolo
Wed Mar  1 19:31:38 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<886d1173929b44759e7f7bdbfa4f1fb4@git.apache.org>,edward capriolo
Wed Mar  1 19:31:38 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<886d1173929b44759e7f7bdbfa4f1fb4@git.apache.org>,edward capriolo
Wed Mar  1 19:31:38 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<886d1173929b44759e7f7bdbfa4f1fb4@git.apache.org>,edward capriolo
Wed Mar  1 19:31:38 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<886d1173929b44759e7f7bdbfa4f1fb4@git.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar  3 16:24:29 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<20170303162429.C89583A086E@svn01-us-west.apache.org>,edward capriolo
Fri Mar 10 12:09:21 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<4b5301f5862c475d918800b2a1aa3fa5@git.apache.org>,edward capriolo
Sun Mar 12 03:08:42 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<a3b276f672ec4315904d94614c102be6@git.apache.org>,edward capriolo
Sun Mar 12 03:08:42 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<a3b276f672ec4315904d94614c102be6@git.apache.org>,edward capriolo
Sun Mar 12 03:08:42 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<a3b276f672ec4315904d94614c102be6@git.apache.org>,edward capriolo
Sun Mar 12 03:08:42 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<a3b276f672ec4315904d94614c102be6@git.apache.org>,edward capriolo
Wed Mar 22 02:52:35 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<d6db08e0d01a4538ba42adb2416d159d@git.apache.org>,edward capriolo
Wed Mar 22 02:52:35 2017,http://mail-archives.apache.org/mod_mbox/gossip-commits/201703.mbox/<d6db08e0d01a4538ba42adb2416d159d@git.apache.org>,edward capriolo
