human_date_time,link,dealised_author_full_name
Fri Apr  1 21:51:27 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110401215127.E03EB23888EA@eris.apache.org>,marvin humphrey
Fri Apr  1 21:51:27 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110401215127.E03EB23888EA@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sat Apr  2 16:04:29 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110402160430.57BA623888E4@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
Sun Apr  3 05:25:48 2011,http://mail-archives.apache.org/mod_mbox/lucy-commits/201104.mbox/<20110403052549.11C5E23888C2@eris.apache.org>,marvin humphrey
