human_date_time,link,dealised_author_full_name
Mon Jun  8 18:50:59 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090608185059.8FF3823888A2@eris.apache.org>,brian eaton
Tue Jun 16 20:40:51 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616204051.8B406238885B@eris.apache.org>,brian eaton
Tue Jun 16 20:40:51 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616204051.8B406238885B@eris.apache.org>,brian eaton
Tue Jun 16 20:50:04 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616205004.6F685238889B@eris.apache.org>,brian eaton
Tue Jun 16 20:50:04 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616205004.6F685238889B@eris.apache.org>,brian eaton
Tue Jun 16 20:50:04 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616205004.6F685238889B@eris.apache.org>,brian eaton
Tue Jun 16 21:08:36 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616210836.E3B5D238889B@eris.apache.org>,brian eaton
Tue Jun 16 21:08:36 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616210836.E3B5D238889B@eris.apache.org>,brian eaton
Tue Jun 16 21:08:36 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616210836.E3B5D238889B@eris.apache.org>,brian eaton
Tue Jun 16 21:08:36 2009,http://mail-archives.apache.org/mod_mbox/shindig-commits/200906.mbox/<20090616210836.E3B5D238889B@eris.apache.org>,brian eaton
