human_date_time,link,dealised_author_full_name
Fri Jan 13 18:54:52 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120113185452.6D51D2388A67@eris.apache.org>,bilung lee
Fri Jan 13 18:54:52 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120113185452.6D51D2388A67@eris.apache.org>,bilung lee
Mon Jan 16 19:36:28 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120116193628.46EFD23888E7@eris.apache.org>,bilung lee
Mon Jan 16 19:36:28 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120116193628.46EFD23888E7@eris.apache.org>,bilung lee
Tue Jan 17 23:52:22 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120117235222.9B91A238889B@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
Wed Jan 25 02:48:48 2012,http://mail-archives.apache.org/mod_mbox/sqoop-commits/201201.mbox/<20120125024849.2D2C423888CD@eris.apache.org>,bilung lee
